연도,시도,충전량_kWh,관측월수,월평균충전량,피크월,피크충전량,평균초과율,충전횟수,충전시간_h,활성충전기수,기간상태
2019,강원,1269332.69,12,105777.72,8,162794.54,53.9,77219.0,18878.06,257.0,complete
2019,경기,2384889.18,12,198740.76,12,293410.96,47.64,144007.0,36806.78,243.0,complete
2019,경남,1397832.02,12,116486.0,8,161105.7,38.3,84179.0,21915.61,175.0,complete
2019,경북,2948049.8,12,245670.82,12,356049.56,44.93,175875.0,44969.58,289.0,complete
2019,광주,312279.34,12,26023.28,12,47802.88,83.69,18029.0,3971.16,42.0,complete
2019,대구,843014.18,12,70251.18,12,98566.21,40.31,50757.0,11963.83,78.0,complete
2019,대전,490034.49,12,40836.21,12,73077.69,78.95,26299.0,5729.4,66.0,complete
2019,부산,309271.34,12,25772.61,12,42229.85,63.86,18881.0,4504.06,41.0,complete
2019,서울,689729.37,12,57477.45,12,93950.22,63.46,42195.0,9641.08,80.0,complete
2019,세종,173155.0,12,14429.58,4,19599.07,35.83,11130.0,2519.29,24.0,complete
2019,울산,451165.98,12,37597.16,12,67104.12,78.48,26106.0,6314.78,84.0,complete
2019,인천,488098.13,12,40674.84,12,71695.98,76.27,28656.0,6400.58,61.0,complete
2019,전남,987636.92,12,82303.08,8,120824.72,46.8,63295.0,15424.51,186.0,complete
2019,전북,1215622.83,12,101301.9,11,142026.4,40.2,68751.0,17273.34,136.0,complete
2019,제주,1431476.96,12,119289.75,8,181736.61,52.35,96272.0,23154.26,86.0,complete
2019,충남,1732044.86,12,144337.07,12,203556.87,41.03,99832.0,25115.31,168.0,complete
2019,충북,1654614.7,12,137884.56,12,193726.27,40.5,97023.0,24705.22,151.0,complete
2020,강원,1966524.91,12,163877.08,12,267930.32,63.49,123048.0,30387.16,373.0,complete
2020,경기,4240788.82,12,353399.07,12,533645.06,51.0,239381.0,64680.46,403.0,complete
2020,경남,2356012.67,12,196334.39,12,354419.85,80.52,136172.0,34191.81,361.0,complete
2020,경북,4640260.09,12,386688.34,12,597792.01,54.59,252075.0,64930.79,524.0,complete
2020,광주,657839.68,12,54819.97,12,82425.19,50.36,34428.0,8596.45,72.0,complete
2020,대구,1784663.45,12,148721.95,10,225822.84,51.84,93674.0,21172.01,130.0,complete
2020,대전,1115756.72,12,92979.73,12,155441.04,67.18,58347.0,14142.99,87.0,complete
2020,부산,609405.36,12,50783.78,12,91453.95,80.08,33015.0,8347.85,67.0,complete
2020,서울,1612201.35,12,134350.11,11,219147.79,63.12,93229.0,22311.15,146.0,complete
2020,세종,325635.9,12,27136.32,12,58176.91,114.39,18259.0,4520.84,44.0,complete
2020,울산,687424.64,12,57285.39,12,72214.78,26.06,37596.0,9165.26,115.0,complete
2020,인천,1099212.92,12,91601.08,11,139118.56,51.87,61731.0,16120.6,101.0,complete
2020,전남,1675214.93,12,139601.24,12,210353.58,50.68,98304.0,24052.55,349.0,complete
2020,전북,1986247.22,12,165520.6,11,215732.18,30.34,110058.0,28096.51,274.0,complete
2020,제주,1735691.51,12,144640.96,8,190402.12,31.64,109769.0,26017.19,135.0,complete
2020,충남,2815502.42,12,234625.2,10,339233.84,44.59,151732.0,38472.8,347.0,complete
2020,충북,2446751.14,12,203895.93,12,298545.89,46.42,134899.0,34462.87,249.0,complete
2021,강원,4523027.6,12,376918.97,12,637181.89,69.05,223621.0,53864.76,507.0,complete
2021,경기,9562724.73,12,796893.73,12,1412007.43,77.19,493284.0,117917.95,654.0,complete
2021,경남,5513455.03,12,459454.59,12,706502.5,53.77,284403.0,68177.69,576.0,complete
2021,경북,8380106.07,12,698342.17,12,985936.52,41.18,427000.0,103822.03,767.0,complete
2021,광주,1347266.1,12,112272.18,12,177325.32,57.94,64820.0,14519.84,108.0,complete
2021,대구,2427529.94,12,202294.16,12,292940.03,44.81,121836.0,28565.82,160.0,complete
2021,대전,2082619.52,12,173551.63,12,269491.4,55.28,104961.0,23123.52,107.0,complete
2021,부산,1446511.6,12,120542.63,12,213815.7,77.38,73666.0,16759.02,74.0,complete
2021,서울,3629825.69,12,302485.47,12,575795.28,90.35,188764.0,41311.23,194.0,complete
2021,세종,520233.4,12,43352.78,3,61209.03,41.19,26901.0,6375.37,47.0,complete
2021,울산,1225430.54,12,102119.21,12,158129.4,54.85,61487.0,14866.59,145.0,complete
2021,인천,2671257.56,12,222604.8,12,422592.74,89.84,131836.0,31453.73,137.0,complete
2021,전남,3316766.9,12,276397.24,12,392144.09,41.88,162633.0,39801.82,550.0,complete
2021,전북,4163814.29,12,346984.52,12,590032.92,70.05,201948.0,47216.59,473.0,complete
2021,제주,2567088.6,12,213924.05,12,267731.95,25.15,142885.0,35095.83,196.0,complete
2021,충남,5360953.78,12,446746.15,12,673917.03,50.85,272126.0,65070.28,483.0,complete
2021,충북,4827424.54,12,402285.38,12,652350.61,62.16,247919.0,58567.61,338.0,complete
2022,강원,10006083.59,12,833840.3,12,1127566.5,35.23,438569.0,104341.05,597.0,complete
2022,경기,22976702.48,12,1914725.21,12,2795232.94,45.99,1088867.0,260285.44,833.0,complete
2022,경남,12012295.94,12,1001024.66,12,1365514.3,36.41,538394.0,132239.05,719.0,complete
2022,경북,16922640.1,12,1410220.01,12,2083773.42,47.76,758363.0,192402.94,928.0,complete
2022,광주,2712473.46,12,226039.46,12,297324.39,31.54,120061.0,27206.92,139.0,complete
2022,대구,4298742.68,12,358228.56,12,504428.95,40.81,189829.0,46329.5,187.0,complete
2022,대전,3914802.55,12,326233.55,12,503893.54,54.46,180082.0,40633.16,150.0,complete
2022,부산,3333859.21,12,277821.6,12,401488.12,44.51,149256.0,35859.51,103.0,complete
2022,서울,8181254.19,12,681771.18,12,1048050.26,53.72,384632.0,85897.65,256.0,complete
2022,세종,729754.85,12,60812.9,12,76006.15,24.98,31658.0,7886.51,68.0,complete
2022,울산,3667813.25,12,305651.1,12,434429.3,42.13,159572.0,38696.49,166.0,complete
2022,인천,6794575.16,12,566214.6,12,861603.91,52.17,302645.0,72310.58,198.0,complete
2022,전남,7116139.81,12,593011.65,12,765701.47,29.12,305251.0,74723.1,701.0,complete
2022,전북,9722704.89,12,810225.41,10,1074946.9,32.67,425715.0,101471.13,592.0,complete
2022,제주,3907408.66,12,325617.39,12,465138.09,42.85,196587.0,49582.33,294.0,complete
2022,충남,11055904.19,12,921325.35,12,1299289.01,41.02,501181.0,122300.71,632.0,complete
2022,충북,10796436.3,12,899703.02,12,1321662.28,46.9,501865.0,122362.78,482.0,complete
2023,강원,10913899.27,12,909491.61,8,1068959.14,17.53,469105.0,115996.85,657.0,complete
2023,경기,25704325.35,12,2142027.11,12,2479165.0,15.74,1196196.0,293900.83,967.0,complete
2023,경남,14395369.11,12,1199614.09,12,1375694.98,14.68,625465.0,158511.45,795.0,complete
2023,경북,21017289.09,12,1751440.76,1,1923207.73,9.81,899192.0,237422.56,999.0,complete
2023,광주,2718924.84,12,226577.07,1,265665.13,17.25,113754.0,27663.32,144.0,complete
2023,대구,4259881.36,12,354990.11,1,439053.91,23.68,178959.0,45865.64,198.0,complete
2023,대전,4484703.91,12,373725.33,1,434172.08,16.17,197628.0,47755.17,158.0,complete
2023,부산,3697805.7,12,308150.48,1,350575.62,13.77,160934.0,40332.79,116.0,complete
2023,서울,8108831.69,12,675735.97,1,908735.39,34.48,373367.0,87879.84,265.0,complete
2023,세종,729746.33,12,60812.19,12,71402.38,17.41,31850.0,8127.81,72.0,complete
2023,울산,3571209.6,12,297600.8,1,387783.32,30.3,153689.0,39175.57,167.0,complete
2023,인천,7112513.31,12,592709.44,1,753130.86,27.07,315457.0,77252.18,230.0,complete
2023,전남,9253941.87,12,771161.82,8,871800.35,13.05,378937.0,95565.48,757.0,complete
2023,전북,11374535.52,12,947877.96,12,1045125.3,10.26,475732.0,119787.67,652.0,complete
