연도,월,기준월,시도,충전량_kWh,충전횟수,충전시간_h,활성충전기수
2019,1,2019-01,강원,50783.18,3543.0,981.1,115.0
2019,1,2019-01,경기,107145.62,7255.0,2025.7,95.0
2019,1,2019-01,경남,64584.06,4206.0,1249.3,94.0
2019,1,2019-01,경북,117641.72,7621.0,2229.59,151.0
2019,1,2019-01,광주,8664.94,572.0,146.31,17.0
2019,1,2019-01,대구,45238.36,3044.0,942.09,46.0
2019,1,2019-01,대전,9634.7,548.0,136.11,11.0
2019,1,2019-01,부산,12068.45,788.0,221.04,14.0
2019,1,2019-01,서울,29171.75,2082.0,550.24,34.0
2019,1,2019-01,세종,6229.91,411.0,105.01,4.0
2019,1,2019-01,울산,12689.06,914.0,292.64,41.0
2019,1,2019-01,인천,14013.79,911.0,220.72,10.0
2019,1,2019-01,전남,34377.41,2422.0,746.51,88.0
2019,1,2019-01,전북,43272.45,2800.0,806.53,53.0
2019,1,2019-01,제주,69318.09,5112.0,1261.12,29.0
2019,1,2019-01,충남,61539.37,3993.0,1167.44,77.0
2019,1,2019-01,충북,85638.11,5267.0,1403.96,98.0
2019,2,2019-02,강원,42633.33,3091.0,840.74,134.0
2019,2,2019-02,경기,101085.29,6946.0,1924.16,109.0
2019,2,2019-02,경남,64856.92,4275.0,1278.64,117.0
2019,2,2019-02,경북,125591.82,8469.0,2424.46,197.0
2019,2,2019-02,광주,8342.7,581.0,155.46,22.0
2019,2,2019-02,대구,45309.74,2984.0,870.32,54.0
2019,2,2019-02,대전,10588.7,739.0,167.29,25.0
2019,2,2019-02,부산,11548.22,780.0,230.45,21.0
2019,2,2019-02,서울,25329.78,1859.0,503.24,48.0
2019,2,2019-02,세종,6492.36,417.0,103.29,4.0
2019,2,2019-02,울산,13378.56,936.0,279.02,46.0
2019,2,2019-02,인천,12002.1,948.0,228.22,45.0
2019,2,2019-02,전남,37062.03,2691.0,813.16,102.0
2019,2,2019-02,전북,45640.11,2912.0,846.11,64.0
2019,2,2019-02,제주,59184.28,4644.0,1146.32,29.0
2019,2,2019-02,충남,56444.43,3702.0,1067.3,104.0
2019,2,2019-02,충북,84552.9,5333.0,1456.86,106.0
2019,3,2019-03,강원,53561.12,3953.0,985.78,194.0
2019,3,2019-03,경기,123525.66,8573.0,2306.72,167.0
2019,3,2019-03,경남,83186.23,5501.0,1486.88,134.0
2019,3,2019-03,경북,145378.58,10011.0,2724.14,229.0
2019,3,2019-03,광주,11609.07,852.0,209.73,28.0
2019,3,2019-03,대구,50641.13,3604.0,843.72,67.0
2019,3,2019-03,대전,15598.77,1102.0,261.75,32.0
2019,3,2019-03,부산,13285.81,991.0,261.47,29.0
2019,3,2019-03,서울,31699.74,2214.0,512.34,69.0
2019,3,2019-03,세종,9538.32,699.0,156.75,16.0
2019,3,2019-03,울산,19063.43,1288.0,337.24,55.0
2019,3,2019-03,인천,18248.5,1605.0,374.12,52.0
2019,3,2019-03,전남,53826.44,4314.0,1085.69,151.0
2019,3,2019-03,전북,57396.42,3801.0,1047.1,110.0
