연도,월,기준월,시도,전기차등록대수,충전량_kWh,충전횟수,충전시간_h,활성충전기수,EV당충전량,EV당충전횟수,활성기당충전량
2019,1,2019-01,강원,1393,50783.18,3543.0,981.1,115.0,36.46,2.54,441.59
2019,1,2019-01,경기,6493,107145.62,7255.0,2025.7,95.0,16.5,1.12,1127.85
2019,1,2019-01,경남,2123,64584.06,4206.0,1249.3,94.0,30.42,1.98,687.06
2019,1,2019-01,경북,2017,117641.72,7621.0,2229.59,151.0,58.33,3.78,779.08
2019,1,2019-01,광주,1446,8664.94,572.0,146.31,17.0,5.99,0.4,509.7
2019,1,2019-01,대구,6885,45238.36,3044.0,942.09,46.0,6.57,0.44,983.44
2019,1,2019-01,대전,1360,9634.7,548.0,136.11,11.0,7.08,0.4,875.88
2019,1,2019-01,부산,1589,12068.45,788.0,221.04,14.0,7.59,0.5,862.03
2019,1,2019-01,서울,9571,29171.75,2082.0,550.24,34.0,3.05,0.22,857.99
2019,1,2019-01,세종,402,6229.91,411.0,105.01,4.0,15.5,1.02,1557.48
2019,1,2019-01,울산,862,12689.06,914.0,292.64,41.0,14.72,1.06,309.49
2019,1,2019-01,인천,1298,14013.79,911.0,220.72,10.0,10.8,0.7,1401.38
2019,1,2019-01,전남,1997,34377.41,2422.0,746.51,88.0,17.21,1.21,390.65
2019,1,2019-01,전북,1005,43272.45,2800.0,806.53,53.0,43.06,2.79,816.46
2019,1,2019-01,제주,15297,69318.09,5112.0,1261.12,29.0,4.53,0.33,2390.28
2019,1,2019-01,충남,1142,61539.37,3993.0,1167.44,77.0,53.89,3.5,799.21
2019,1,2019-01,충북,1205,85638.11,5267.0,1403.96,98.0,71.07,4.37,873.86
2019,2,2019-02,강원,1423,42633.33,3091.0,840.74,134.0,29.96,2.17,318.16
2019,2,2019-02,경기,6579,101085.29,6946.0,1924.16,109.0,15.36,1.06,927.39
2019,2,2019-02,경남,2211,64856.92,4275.0,1278.64,117.0,29.33,1.93,554.33
2019,2,2019-02,경북,2043,125591.82,8469.0,2424.46,197.0,61.47,4.15,637.52
2019,2,2019-02,광주,1462,8342.7,581.0,155.46,22.0,5.71,0.4,379.21
2019,2,2019-02,대구,6927,45309.74,2984.0,870.32,54.0,6.54,0.43,839.07
2019,2,2019-02,대전,1358,10588.7,739.0,167.29,25.0,7.8,0.54,423.55
2019,2,2019-02,부산,1602,11548.22,780.0,230.45,21.0,7.21,0.49,549.92
2019,2,2019-02,서울,9647,25329.78,1859.0,503.24,48.0,2.63,0.19,527.7
2019,2,2019-02,세종,414,6492.36,417.0,103.29,4.0,15.68,1.01,1623.09
2019,2,2019-02,울산,864,13378.56,936.0,279.02,46.0,15.48,1.08,290.84
2019,2,2019-02,인천,1341,12002.1,948.0,228.22,45.0,8.95,0.71,266.71
2019,2,2019-02,전남,1999,37062.03,2691.0,813.16,102.0,18.54,1.35,363.35
2019,2,2019-02,전북,1017,45640.11,2912.0,846.11,64.0,44.88,2.86,713.13
2019,2,2019-02,제주,15268,59184.28,4644.0,1146.32,29.0,3.88,0.3,2040.84
2019,2,2019-02,충남,1161,56444.43,3702.0,1067.3,104.0,48.62,3.19,542.73
2019,2,2019-02,충북,1216,84552.9,5333.0,1456.86,106.0,69.53,4.39,797.67
2019,3,2019-03,강원,1567,53561.12,3953.0,985.78,194.0,34.18,2.52,276.09
2019,3,2019-03,경기,7290,123525.66,8573.0,2306.72,167.0,16.94,1.18,739.67
2019,3,2019-03,경남,2602,83186.23,5501.0,1486.88,134.0,31.97,2.11,620.79
2019,3,2019-03,경북,2404,145378.58,10011.0,2724.14,229.0,60.47,4.16,634.84
2019,3,2019-03,광주,1587,11609.07,852.0,209.73,28.0,7.32,0.54,414.61
2019,3,2019-03,대구,7140,50641.13,3604.0,843.72,67.0,7.09,0.5,755.84
2019,3,2019-03,대전,1463,15598.77,1102.0,261.75,32.0,10.66,0.75,487.46
2019,3,2019-03,부산,1786,13285.81,991.0,261.47,29.0,7.44,0.55,458.13
2019,3,2019-03,서울,9934,31699.74,2214.0,512.34,69.0,3.19,0.22,459.42
2019,3,2019-03,세종,535,9538.32,699.0,156.75,16.0,17.83,1.31,596.14
2019,3,2019-03,울산,902,19063.43,1288.0,337.24,55.0,21.13,1.43,346.61
2019,3,2019-03,인천,1499,18248.5,1605.0,374.12,52.0,12.17,1.07,350.93
2019,3,2019-03,전남,2514,53826.44,4314.0,1085.69,151.0,21.41,1.72,356.47
2019,3,2019-03,전북,1196,57396.42,3801.0,1047.1,110.0,47.99,3.18,521.79
2019,3,2019-03,제주,15597,61267.56,4889.0,1206.03,39.0,3.93,0.31,1570.96
2019,3,2019-03,충남,1559,82571.34,5219.0,1380.53,137.0,52.96,3.35,602.71
2019,3,2019-03,충북,1377,87700.5,5893.0,1574.61,129.0,63.69,4.28,679.85
2019,4,2019-04,강원,1727,65165.26,4790.0,1143.97,206.0,37.73,2.77,316.34
2019,4,2019-04,경기,7872,146900.91,10306.0,2627.18,186.0,18.66,1.31,789.79
2019,4,2019-04,경남,2783,95497.6,6238.0,1592.61,144.0,34.31,2.24,663.18
2019,4,2019-04,경북,2763,181828.33,12799.0,3289.01,257.0,65.81,4.63,707.5
2019,4,2019-04,광주,1736,13943.73,968.0,231.31,30.0,8.03,0.56,464.79
2019,4,2019-04,대구,7475,60214.4,4261.0,987.14,68.0,8.06,0.57,885.51
2019,4,2019-04,대전,1616,21302.83,1471.0,313.04,38.0,13.18,0.91,560.6
2019,4,2019-04,부산,1906,18514.36,1476.0,358.43,29.0,9.71,0.77,638.43
2019,4,2019-04,서울,10175,37345.66,2542.0,615.06,65.0,3.67,0.25,574.55
2019,4,2019-04,세종,642,19599.07,1618.0,373.7,22.0,30.53,2.52,890.87
2019,4,2019-04,울산,927,21885.49,1456.0,367.14,61.0,23.61,1.57,358.78
2019,4,2019-04,인천,1686,23037.39,2133.0,483.68,57.0,13.66,1.27,404.16
2019,4,2019-04,전남,2687,65083.38,5652.0,1394.24,152.0,24.22,2.1,428.18
2019,4,2019-04,전북,1418,84442.9,5330.0,1325.54,110.0,59.55,3.76,767.66
2019,4,2019-04,제주,16066,70827.2,5605.0,1414.95,62.0,4.41,0.35,1142.37
2019,4,2019-04,충남,2051,118456.75,7556.0,1805.56,151.0,57.76,3.68,784.48
2019,4,2019-04,충북,1695,104120.4,7285.0,1858.77,137.0,61.43,4.3,760.0
2019,5,2019-05,강원,1833,87186.58,6412.0,1602.16,223.0,47.56,3.5,390.97
2019,5,2019-05,경기,8549,180182.54,12400.0,3138.41,197.0,21.08,1.45,914.63
2019,5,2019-05,경남,3005,109150.06,7238.0,1866.81,153.0,36.32,2.41,713.4
2019,5,2019-05,경북,2971,224131.02,15450.0,3992.93,272.0,75.44,5.2,824.01
2019,5,2019-05,광주,1870,18812.37,1387.0,318.4,30.0,10.06,0.74,627.08
2019,5,2019-05,대구,7964,68680.67,4786.0,1097.38,69.0,8.62,0.6,995.37
2019,5,2019-05,대전,1781,37419.56,2345.0,536.28,54.0,21.01,1.32,692.95
2019,5,2019-05,부산,2085,24656.17,1881.0,451.64,31.0,11.83,0.9,795.36
2019,5,2019-05,서울,10613,49020.08,3301.0,778.17,73.0,4.62,0.31,671.51
2019,5,2019-05,세종,728,15532.7,1695.0,377.73,22.0,21.34,2.33,706.03
2019,5,2019-05,울산,959,27254.16,1747.0,456.04,62.0,28.42,1.82,439.58
2019,5,2019-05,인천,1842,30544.45,2888.0,661.51,61.0,16.58,1.57,500.73
2019,5,2019-05,전남,2817,71204.36,6216.0,1535.16,159.0,25.28,2.21,447.83
2019,5,2019-05,전북,1490,99995.37,6388.0,1594.07,130.0,67.11,4.29,769.2
2019,5,2019-05,제주,16588,100159.71,7908.0,1934.46,85.0,6.04,0.48,1178.35
2019,5,2019-05,충남,2246,148587.63,9856.0,2440.81,158.0,66.16,4.39,940.43
2019,5,2019-05,충북,1882,124930.94,8677.0,2223.68,145.0,66.38,4.61,861.59
2019,6,2019-06,강원,1945,114904.23,6717.0,1670.28,225.0,59.08,3.45,510.69
2019,6,2019-06,경기,9267,190679.26,11502.0,2968.8,202.0,20.58,1.24,943.96
2019,6,2019-06,경남,3108,117930.55,6974.0,1801.33,157.0,37.94,2.24,751.15
2019,6,2019-06,경북,3159,243918.81,14440.0,3764.3,273.0,77.21,4.57,893.48
2019,6,2019-06,광주,2024,17768.59,1050.0,232.52,30.0,8.78,0.52,592.29
2019,6,2019-06,대구,8307,71416.66,4279.0,971.68,76.0,8.6,0.52,939.69
2019,6,2019-06,대전,1937,40059.0,2092.0,481.99,53.0,20.68,1.08,755.83
2019,6,2019-06,부산,2234,26265.97,1603.0,373.94,31.0,11.76,0.72,847.29
2019,6,2019-06,서울,11082,50341.53,3132.0,734.65,72.0,4.54,0.28,699.19
2019,6,2019-06,세종,800,18199.24,1068.0,231.74,22.0,22.75,1.34,827.24
2019,6,2019-06,울산,1019,30624.36,1849.0,465.71,83.0,30.05,1.81,368.97
2019,6,2019-06,인천,1985,50592.82,2922.0,643.05,61.0,25.49,1.47,829.39
2019,6,2019-06,전남,2979,84787.62,5464.0,1318.1,160.0,28.46,1.83,529.92
2019,6,2019-06,전북,1586,101786.53,5645.0,1436.3,130.0,64.18,3.56,782.97
2019,6,2019-06,제주,17101,139825.85,9262.0,2269.18,82.0,8.18,0.54,1705.19
2019,6,2019-06,충남,2308,152390.3,8628.0,2186.0,161.0,66.03,3.74,946.52
2019,6,2019-06,충북,1973,133451.44,7680.0,1927.26,144.0,67.64,3.89,926.75
2019,7,2019-07,강원,2114,128872.61,7131.0,1771.0,227.0,60.96,3.37,567.72
2019,7,2019-07,경기,9877,217783.92,12136.0,3144.33,202.0,22.05,1.23,1078.14
2019,7,2019-07,경남,3258,134463.44,7464.0,1949.56,160.0,41.27,2.29,840.4
2019,7,2019-07,경북,3409,275625.38,15265.0,3906.96,276.0,80.85,4.48,998.64
2019,7,2019-07,광주,2140,33783.73,1794.0,382.72,38.0,15.79,0.84,889.05
2019,7,2019-07,대구,8656,73887.07,3973.0,903.91,68.0,8.54,0.46,1086.57
2019,7,2019-07,대전,2117,44864.27,2172.0,483.19,53.0,21.19,1.03,846.5
2019,7,2019-07,부산,2410,27653.67,1468.0,344.37,31.0,11.47,0.61,892.05
2019,7,2019-07,서울,11764,71461.68,4089.0,918.03,73.0,6.07,0.35,978.93
2019,7,2019-07,세종,811,16717.95,820.0,188.79,22.0,20.61,1.01,759.91
2019,7,2019-07,울산,1079,39607.81,2239.0,543.65,81.0,36.71,2.08,488.99
2019,7,2019-07,인천,2132,51219.02,2455.0,575.61,60.0,24.02,1.15,853.65
2019,7,2019-07,전남,3077,100774.62,5543.0,1343.4,161.0,32.75,1.8,625.93
2019,7,2019-07,전북,1641,112036.54,5898.0,1493.11,129.0,68.27,3.59,868.5
2019,7,2019-07,제주,17352,156568.39,9892.0,2390.36,82.0,9.02,0.57,1909.37
2019,7,2019-07,충남,2421,161755.66,8822.0,2233.41,163.0,66.81,3.64,992.37
2019,7,2019-07,충북,2074,149043.91,8114.0,2096.75,144.0,71.86,3.91,1035.03
2019,8,2019-08,강원,2236,162794.54,8940.0,2189.16,223.0,72.81,4.0,730.02
2019,8,2019-08,경기,10304,252434.33,13829.0,3576.3,203.0,24.5,1.34,1243.52
2019,8,2019-08,경남,3392,161105.7,9009.0,2310.22,161.0,47.5,2.66,1000.66
2019,8,2019-08,경북,3563,327647.47,17807.0,4606.11,276.0,91.96,5.0,1187.13
2019,8,2019-08,광주,2213,39746.89,2012.0,443.23,38.0,17.96,0.91,1045.97
2019,8,2019-08,대구,9053,81759.1,4434.0,1053.22,74.0,9.03,0.49,1104.85
2019,8,2019-08,대전,2224,58751.66,2776.0,606.24,51.0,26.42,1.25,1151.99
2019,8,2019-08,부산,2489,34846.21,1900.0,447.37,29.0,14.0,0.76,1201.59
2019,8,2019-08,서울,12050,80141.83,4444.0,1002.31,73.0,6.65,0.37,1097.83
2019,8,2019-08,세종,826,17731.9,855.0,206.08,22.0,21.47,1.04,806.0
2019,8,2019-08,울산,1123,51279.05,2791.0,659.36,82.0,45.66,2.49,625.35
2019,8,2019-08,인천,2210,54661.12,2560.0,570.44,60.0,24.73,1.16,911.02
2019,8,2019-08,전남,3122,120824.72,6610.0,1581.95,164.0,38.7,2.12,736.74
2019,8,2019-08,전북,1700,137346.51,7042.0,1773.87,132.0,80.79,4.14,1040.5
2019,8,2019-08,제주,17559,181736.61,11375.0,2704.38,83.0,10.35,0.65,2189.6
2019,8,2019-08,충남,2490,187515.99,10068.0,2580.22,165.0,75.31,4.04,1136.46
2019,8,2019-08,충북,2106,177952.74,9516.0,2425.68,146.0,84.5,4.52,1218.85
2019,9,2019-09,강원,2339,127784.87,6896.0,1733.59,220.0,54.63,2.95,580.84
2019,9,2019-09,경기,10657,234308.06,12937.0,3349.92,203.0,21.99,1.21,1154.23
2019,9,2019-09,경남,3458,132275.32,7588.0,1965.55,163.0,38.25,2.19,811.51
2019,9,2019-09,경북,3670,295545.14,16100.0,4154.6,273.0,80.53,4.39,1082.58
2019,9,2019-09,광주,2283,33177.69,1756.0,410.19,38.0,14.53,0.77,873.1
2019,9,2019-09,대구,9403,78284.93,4251.0,1005.83,76.0,8.33,0.45,1030.06
