기준월,연도,월,시도,충전량_kWh,value_status,관측값,estimated_value,하한_80,상한_80,모형ID,출처ID
2019-01,2019,1,강원,50783.18,observed,50783.18,,,,,moe_public_fast_monthly
2019-01,2019,1,경기,107145.62,observed,107145.62,,,,,moe_public_fast_monthly
2019-01,2019,1,경남,64584.06,observed,64584.06,,,,,moe_public_fast_monthly
2019-01,2019,1,경북,117641.72,observed,117641.72,,,,,moe_public_fast_monthly
2019-01,2019,1,광주,8664.94,observed,8664.94,,,,,moe_public_fast_monthly
2019-01,2019,1,대구,45238.36,observed,45238.36,,,,,moe_public_fast_monthly
2019-01,2019,1,대전,9634.7,observed,9634.7,,,,,moe_public_fast_monthly
2019-01,2019,1,부산,12068.45,observed,12068.45,,,,,moe_public_fast_monthly
2019-01,2019,1,서울,29171.75,observed,29171.75,,,,,moe_public_fast_monthly
2019-01,2019,1,세종,6229.91,observed,6229.91,,,,,moe_public_fast_monthly
2019-01,2019,1,울산,12689.06,observed,12689.06,,,,,moe_public_fast_monthly
2019-01,2019,1,인천,14013.79,observed,14013.79,,,,,moe_public_fast_monthly
2019-01,2019,1,전남,34377.41,observed,34377.41,,,,,moe_public_fast_monthly
2019-01,2019,1,전북,43272.45,observed,43272.45,,,,,moe_public_fast_monthly
2019-01,2019,1,제주,69318.09,observed,69318.09,,,,,moe_public_fast_monthly
2019-01,2019,1,충남,61539.37,observed,61539.37,,,,,moe_public_fast_monthly
2019-01,2019,1,충북,85638.11,observed,85638.11,,,,,moe_public_fast_monthly
2019-02,2019,2,강원,42633.33,observed,42633.33,,,,,moe_public_fast_monthly
2019-02,2019,2,경기,101085.29,observed,101085.29,,,,,moe_public_fast_monthly
2019-02,2019,2,경남,64856.92,observed,64856.92,,,,,moe_public_fast_monthly
2019-02,2019,2,경북,125591.82,observed,125591.82,,,,,moe_public_fast_monthly
2019-02,2019,2,광주,8342.7,observed,8342.7,,,,,moe_public_fast_monthly
2019-02,2019,2,대구,45309.74,observed,45309.74,,,,,moe_public_fast_monthly
2019-02,2019,2,대전,10588.7,observed,10588.7,,,,,moe_public_fast_monthly
2019-02,2019,2,부산,11548.22,observed,11548.22,,,,,moe_public_fast_monthly
2019-02,2019,2,서울,25329.78,observed,25329.78,,,,,moe_public_fast_monthly
2019-02,2019,2,세종,6492.36,observed,6492.36,,,,,moe_public_fast_monthly
2019-02,2019,2,울산,13378.56,observed,13378.56,,,,,moe_public_fast_monthly
2019-02,2019,2,인천,12002.1,observed,12002.1,,,,,moe_public_fast_monthly
2019-02,2019,2,전남,37062.03,observed,37062.03,,,,,moe_public_fast_monthly
2019-02,2019,2,전북,45640.11,observed,45640.11,,,,,moe_public_fast_monthly
2019-02,2019,2,제주,59184.28,observed,59184.28,,,,,moe_public_fast_monthly
2019-02,2019,2,충남,56444.43,observed,56444.43,,,,,moe_public_fast_monthly
2019-02,2019,2,충북,84552.9,observed,84552.9,,,,,moe_public_fast_monthly
2019-03,2019,3,강원,53561.12,observed,53561.12,,,,,moe_public_fast_monthly
2019-03,2019,3,경기,123525.66,observed,123525.66,,,,,moe_public_fast_monthly
2019-03,2019,3,경남,83186.23,observed,83186.23,,,,,moe_public_fast_monthly
2019-03,2019,3,경북,145378.58,observed,145378.58,,,,,moe_public_fast_monthly
