시도,충전량_2024_YTD,충전량_2025_YTD,충전량_YTD증감률,충전횟수_2024_YTD,충전횟수_2025_YTD,활성기_2024_YTD,활성기_2025_YTD,EV_2024_YTD평균,EV_2025_YTD평균,EV당충전량_2024_YTD,EV당충전량_2025_YTD,비교월수
서울,4428928.24,4324904.7,-2.35,200112,193679,265,265,76295.75,87872.5,58.05,49.22,8
부산,2005574.99,1778960.43,-11.3,88066,77693,130,131,37799.12,48192.88,53.06,36.91,8
대구,2447780.76,2447036.39,-0.03,98172,100179,202,215,31560.5,36953.62,77.56,66.22,8
인천,4151983.1,4100855.7,-1.23,182329,176702,250,262,44730.38,63329.38,92.82,64.75,8
광주,1590507.01,1612067.92,1.36,65201,65209,147,150,13195.62,16522.5,120.53,97.57,8
대전,2441242.72,2451376.49,0.42,109221,105633,161,160,18927.12,22480.12,128.98,109.05,8
울산,1821563.86,1746550.24,-4.12,79242,75747,175,176,8395.0,10725.62,216.98,162.84,8
세종,518347.36,572319.07,10.41,22717,24599,74,74,4683.12,5956.12,110.68,96.09,8
경기,14944342.91,15975204.17,6.9,692470,721425,1032,1072,125790.5,167702.75,118.8,95.26,8
강원,6301074.35,6647945.48,5.5,267574,274205,680,696,18938.5,22283.0,332.71,298.34,8
충북,8060757.38,8166739.13,1.31,350325,348663,567,580,21529.75,28100.12,374.4,290.63,8
충남,9007741.61,9684874.38,7.52,382903,409279,784,853,26407.25,33953.0,341.11,285.24,8
전북,6877655.44,6894701.08,0.25,282991,277815,695,727,21280.25,26735.5,323.19,257.89,8
전남,5929455.25,6739168.27,13.66,237270,265057,787,844,26612.0,34893.75,222.81,193.13,8
경북,11812355.58,12177400.47,3.09,504259,514612,1026,1084,29036.75,37701.38,406.81,323.0,8
경남,8996360.74,9229908.16,2.6,391342,394061,827,859,40180.25,52383.88,223.9,176.2,8
제주,4666727.05,5303217.42,13.64,215565,239548,316,315,41517.88,52291.0,112.4,101.42,8
