연도,시도,설치누적,신규설치,설비상태
2019,강원,435.0,174.0,observed
2019,경기,500.0,236.0,observed
2019,경남,394.0,210.0,observed
2019,경북,561.0,260.0,observed
2019,광주,83.0,47.0,observed
2019,대구,140.0,62.0,observed
2019,대전,94.0,54.0,observed
2019,부산,84.0,33.0,observed
2019,서울,215.0,81.0,observed
2019,세종,44.0,22.0,observed
2019,울산,124.0,57.0,observed
2019,인천,120.0,51.0,observed
2019,전남,395.0,193.0,observed
2019,전북,306.0,153.0,observed
2019,제주,184.0,57.0,observed
2019,충남,416.0,232.0,observed
2019,충북,293.0,129.0,observed
2020,강원,539.0,104.0,observed
2020,경기,721.0,221.0,observed
2020,경남,592.0,198.0,observed
2020,경북,794.0,233.0,observed
2020,광주,110.0,27.0,observed
2020,대구,165.0,25.0,observed
2020,대전,111.0,17.0,observed
2020,부산,91.0,7.0,observed
2020,서울,254.0,39.0,observed
2020,세종,47.0,3.0,observed
2020,울산,153.0,29.0,observed
2020,인천,153.0,33.0,observed
2020,전남,589.0,194.0,observed
2020,전북,491.0,185.0,observed
2020,제주,235.0,51.0,observed
2020,충남,487.0,71.0,observed
2020,충북,351.0,58.0,observed
2021,강원,608.0,69.0,observed
2021,경기,872.0,151.0,observed
2021,경남,702.0,110.0,observed
2021,경북,928.0,134.0,observed
2021,광주,139.0,29.0,observed
2021,대구,186.0,21.0,observed
2021,대전,140.0,29.0,observed
2021,부산,104.0,13.0,observed
2021,서울,296.0,42.0,observed
2021,세종,60.0,13.0,observed
2021,울산,170.0,17.0,observed
2021,인천,182.0,29.0,observed
2021,전남,721.0,132.0,observed
2021,전북,577.0,86.0,observed
2021,제주,320.0,85.0,observed
2021,충남,618.0,131.0,observed
2021,충북,447.0,96.0,observed
2022,강원,667.0,59.0,observed
2022,경기,935.0,63.0,observed
2022,경남,775.0,73.0,observed
2022,경북,987.0,59.0,observed
2022,광주,146.0,7.0,observed
2022,대구,198.0,12.0,observed
2022,대전,162.0,22.0,observed
2022,부산,126.0,22.0,observed
2022,서울,316.0,20.0,observed
2022,세종,68.0,8.0,observed
2022,울산,173.0,3.0,observed
2022,인천,208.0,26.0,observed
2022,전남,757.0,36.0,observed
2022,전북,638.0,61.0,observed
2022,제주,338.0,18.0,observed
2022,충남,700.0,82.0,observed
2022,충북,531.0,84.0,observed
2023,강원,,,source_stale
2023,경기,,,source_stale
2023,경남,,,source_stale
2023,경북,,,source_stale
2023,광주,,,source_stale
2023,대구,,,source_stale
2023,대전,,,source_stale
2023,부산,,,source_stale
2023,서울,,,source_stale
2023,세종,,,source_stale
2023,울산,,,source_stale
2023,인천,,,source_stale
2023,전남,,,source_stale
2023,전북,,,source_stale
2023,제주,,,source_stale
2023,충남,,,source_stale
2023,충북,,,source_stale
2024,강원,,,source_stale
2024,경기,,,source_stale
2024,경남,,,source_stale
2024,경북,,,source_stale
2024,광주,,,source_stale
2024,대구,,,source_stale
2024,대전,,,source_stale
2024,부산,,,source_stale
2024,서울,,,source_stale
2024,세종,,,source_stale
2024,울산,,,source_stale
2024,인천,,,source_stale
2024,전남,,,source_stale
2024,전북,,,source_stale
2024,제주,,,source_stale
2024,충남,,,source_stale
2024,충북,,,source_stale
2025,강원,,,source_stale
2025,경기,,,source_stale
2025,경남,,,source_stale
2025,경북,,,source_stale
2025,광주,,,source_stale
2025,대구,,,source_stale
2025,대전,,,source_stale
2025,부산,,,source_stale
2025,서울,,,source_stale
2025,세종,,,source_stale
2025,울산,,,source_stale
2025,인천,,,source_stale
2025,전남,,,source_stale
2025,전북,,,source_stale
2025,제주,,,source_stale
2025,충남,,,source_stale
2025,충북,,,source_stale
2026,강원,,,source_stale
2026,경기,,,source_stale
2026,경남,,,source_stale
2026,경북,,,source_stale
2026,광주,,,source_stale
2026,대구,,,source_stale
2026,대전,,,source_stale
2026,부산,,,source_stale
2026,서울,,,source_stale
2026,세종,,,source_stale
2026,울산,,,source_stale
2026,인천,,,source_stale
2026,전남,,,source_stale
2026,전북,,,source_stale
2026,제주,,,source_stale
2026,충남,,,source_stale
2026,충북,,,source_stale
