연도,시도,전기차등록대수,ref_date
2019,강원,2445,2019-12-31
2019,경기,11750,2019-12-31
2019,경남,3626,2019-12-31
2019,경북,4051,2019-12-31
2019,광주,2464,2019-12-31
2019,대구,11313,2019-12-31
2019,대전,2555,2019-12-31
2019,부산,3216,2019-12-31
2019,서울,14952,2019-12-31
2019,세종,903,2019-12-31
2019,울산,1447,2019-12-31
2019,인천,2598,2019-12-31
2019,전남,3326,2019-12-31
2019,전북,1841,2019-12-31
2019,제주,18178,2019-12-31
2019,충남,2841,2019-12-31
2019,충북,2412,2019-12-31
2020,강원,4078,2020-12-01
2020,경기,20477,2020-12-01
2020,경남,6308,2020-12-01
2020,경북,7051,2020-12-01
2020,광주,3210,2020-12-01
2020,대구,12630,2020-12-01
2020,대전,4469,2020-12-01
2020,부산,5355,2020-12-01
2020,서울,23393,2020-12-01
2020,세종,1148,2020-12-01
2020,울산,2274,2020-12-01
2020,인천,5366,2020-12-01
2020,전남,5223,2020-12-01
2020,전북,3323,2020-12-01
2020,제주,21285,2020-12-01
2020,충남,5489,2020-12-01
2020,충북,3883,2020-12-01
2021,강원,7946,2021-12-01
2021,경기,39958,2021-12-01
2021,경남,12606,2021-12-01
2021,경북,11240,2021-12-01
2021,광주,5194,2021-12-01
2021,대구,16185,2021-12-01
2021,대전,7701,2021-12-01
2021,부산,12375,2021-12-01
2021,서울,40564,2021-12-01
2021,세종,1859,2021-12-01
2021,울산,3166,2021-12-01
2021,인천,12820,2021-12-01
2021,전남,8708,2021-12-01
2021,전북,7365,2021-12-01
2021,제주,25571,2021-12-01
2021,충남,9991,2021-12-01
2021,충북,8194,2021-12-01
2022,강원,14012,2022-12-31
2022,경기,77648,2022-12-31
2022,경남,22740,2022-12-31
2022,경북,19154,2022-12-31
2022,광주,9096,2022-12-31
2022,대구,24161,2022-12-31
2022,대전,14476,2022-12-31
2022,부산,22063,2022-12-31
2022,서울,59327,2022-12-31
2022,세종,3034,2022-12-31
2022,울산,5061,2022-12-31
2022,인천,26242,2022-12-31
2022,전남,15387,2022-12-31
2022,전북,12727,2022-12-31
2022,제주,32976,2022-12-31
2022,충남,16611,2022-12-31
2022,충북,15140,2022-12-31
2023,강원,18236,2023-12-31
2023,경기,114117,2023-12-31
2023,경남,36225,2023-12-31
2023,경북,26776,2023-12-31
2023,광주,12538,2023-12-31
2023,대구,30396,2023-12-31
2023,대전,17889,2023-12-31
2023,부산,34643,2023-12-31
2023,서울,72937,2023-12-31
2023,세종,4393,2023-12-31
2023,울산,7838,2023-12-31
2023,인천,40397,2023-12-31
2023,전남,24200,2023-12-31
2023,전북,19795,2023-12-31
2023,제주,39418,2023-12-31
2023,충남,24130,2023-12-31
2023,충북,19972,2023-12-31
2024,강원,21004,2024-12-31
2024,경기,151850,2024-12-31
2024,경남,46628,2024-12-31
2024,경북,33905,2024-12-31
2024,광주,15240,2024-12-31
2024,대구,35212,2024-12-31
2024,대전,21314,2024-12-31
2024,부산,44259,2024-12-31
2024,서울,83868,2024-12-31
2024,세종,5424,2024-12-31
2024,울산,9817,2024-12-31
2024,인천,54398,2024-12-31
2024,전남,31417,2024-12-31
2024,전북,24872,2024-12-31
2024,제주,49007,2024-12-31
2024,충남,30654,2024-12-31
2024,충북,25375,2024-12-31
2025,강원,25679,2025-12-31
2025,경기,207075,2025-12-31
2025,경남,65934,2025-12-31
2025,경북,45090,2025-12-31
2025,광주,19115,2025-12-31
2025,대구,42592,2025-12-31
2025,대전,25432,2025-12-31
2025,부산,60687,2025-12-31
2025,서울,101331,2025-12-31
2025,세종,7330,2025-12-31
2025,울산,13340,2025-12-31
2025,인천,79860,2025-12-31
2025,전남,41322,2025-12-31
2025,전북,30511,2025-12-31
2025,제주,61063,2025-12-31
2025,충남,39839,2025-12-31
2025,충북,32901,2025-12-31
