연도,시도,전기차등록대수,사용기준월,기간상태
2019,강원,2445,12,complete
2019,경기,11750,12,complete
2019,경남,3626,12,complete
2019,경북,4051,12,complete
2019,광주,2464,12,complete
2019,대구,11313,12,complete
2019,대전,2555,12,complete
2019,부산,3216,12,complete
2019,서울,14952,12,complete
2019,세종,903,12,complete
2019,울산,1447,12,complete
2019,인천,2598,12,complete
2019,전남,3326,12,complete
2019,전북,1841,12,complete
2019,제주,18178,12,complete
2019,충남,2841,12,complete
2019,충북,2412,12,complete
2020,강원,4078,12,complete
2020,경기,20477,12,complete
2020,경남,6308,12,complete
2020,경북,7051,12,complete
2020,광주,3210,12,complete
2020,대구,12630,12,complete
2020,대전,4469,12,complete
2020,부산,5355,12,complete
2020,서울,23393,12,complete
2020,세종,1148,12,complete
2020,울산,2274,12,complete
2020,인천,5366,12,complete
2020,전남,5223,12,complete
2020,전북,3323,12,complete
2020,제주,21285,12,complete
2020,충남,5489,12,complete
2020,충북,3883,12,complete
2021,강원,7946,12,complete
2021,경기,39958,12,complete
2021,경남,12606,12,complete
2021,경북,11240,12,complete
2021,광주,5194,12,complete
2021,대구,16185,12,complete
2021,대전,7701,12,complete
2021,부산,12375,12,complete
2021,서울,40564,12,complete
2021,세종,1859,12,complete
2021,울산,3166,12,complete
2021,인천,12820,12,complete
2021,전남,8708,12,complete
2021,전북,7365,12,complete
2021,제주,25571,12,complete
2021,충남,9991,12,complete
2021,충북,8194,12,complete
2022,강원,14012,12,complete
2022,경기,77648,12,complete
2022,경남,22740,12,complete
2022,경북,19154,12,complete
2022,광주,9096,12,complete
2022,대구,24161,12,complete
2022,대전,14476,12,complete
2022,부산,22063,12,complete
2022,서울,59327,12,complete
2022,세종,3034,12,complete
2022,울산,5061,12,complete
2022,인천,26242,12,complete
2022,전남,15387,12,complete
2022,전북,12727,12,complete
2022,제주,32976,12,complete
2022,충남,16611,12,complete
2022,충북,15140,12,complete
2023,강원,18236,12,complete
2023,경기,114117,12,complete
2023,경남,36225,12,complete
2023,경북,26776,12,complete
2023,광주,12538,12,complete
2023,대구,30396,12,complete
2023,대전,17889,12,complete
2023,부산,34643,12,complete
2023,서울,72937,12,complete
2023,세종,4393,12,complete
2023,울산,7838,12,complete
2023,인천,40397,12,complete
2023,전남,24200,12,complete
2023,전북,19795,12,complete
2023,제주,39418,12,complete
2023,충남,24130,12,complete
2023,충북,19972,12,complete
2024,강원,21004,12,complete
2024,경기,151850,12,complete
2024,경남,46628,12,complete
2024,경북,33905,12,complete
2024,광주,15240,12,complete
2024,대구,35212,12,complete
2024,대전,21314,12,complete
2024,부산,44259,12,complete
2024,서울,83868,12,complete
2024,세종,5424,12,complete
2024,울산,9817,12,complete
2024,인천,54398,12,complete
2024,전남,31417,12,complete
2024,전북,24872,12,complete
2024,제주,49007,12,complete
2024,충남,30654,12,complete
2024,충북,25375,12,complete
2025,강원,25679,12,complete
2025,경기,207075,12,complete
2025,경남,65934,12,complete
2025,경북,45090,12,complete
2025,광주,19115,12,complete
2025,대구,42592,12,complete
2025,대전,25432,12,complete
2025,부산,60687,12,complete
2025,서울,101331,12,complete
2025,세종,7330,12,complete
2025,울산,13340,12,complete
2025,인천,79860,12,complete
2025,전남,41322,12,complete
2025,전북,30511,12,complete
2025,제주,61063,12,complete
2025,충남,39839,12,complete
2025,충북,32901,12,complete
2026,강원,31471,6,partial
2026,경기,256849,6,partial
2026,경남,84222,6,partial
2026,경북,56080,6,partial
2026,광주,23058,6,partial
2026,대구,49756,6,partial
2026,대전,28497,6,partial
2026,부산,75567,6,partial
2026,서울,118967,6,partial
2026,세종,9260,6,partial
2026,울산,17150,6,partial
2026,인천,96221,6,partial
2026,전남,49902,6,partial
2026,전북,35598,6,partial
2026,제주,73249,6,partial
2026,충남,48294,6,partial
2026,충북,41077,6,partial
