ref_year,ref_month,기준월,시도,전기차등록대수
2019,1,2019-01,강원,1393
2019,1,2019-01,경기,6493
2019,1,2019-01,경남,2123
2019,1,2019-01,경북,2017
2019,1,2019-01,광주,1446
2019,1,2019-01,대구,6885
2019,1,2019-01,대전,1360
2019,1,2019-01,부산,1589
2019,1,2019-01,서울,9571
2019,1,2019-01,세종,402
2019,1,2019-01,울산,862
2019,1,2019-01,인천,1298
2019,1,2019-01,전남,1997
2019,1,2019-01,전북,1005
2019,1,2019-01,제주,15297
2019,1,2019-01,충남,1142
2019,1,2019-01,충북,1205
2019,2,2019-02,강원,1423
2019,2,2019-02,경기,6579
2019,2,2019-02,경남,2211
2019,2,2019-02,경북,2043
2019,2,2019-02,광주,1462
2019,2,2019-02,대구,6927
2019,2,2019-02,대전,1358
2019,2,2019-02,부산,1602
2019,2,2019-02,서울,9647
2019,2,2019-02,세종,414
2019,2,2019-02,울산,864
2019,2,2019-02,인천,1341
2019,2,2019-02,전남,1999
2019,2,2019-02,전북,1017
2019,2,2019-02,제주,15268
2019,2,2019-02,충남,1161
2019,2,2019-02,충북,1216
2019,3,2019-03,강원,1567
2019,3,2019-03,경기,7290
2019,3,2019-03,경남,2602
2019,3,2019-03,경북,2404
2019,3,2019-03,광주,1587
2019,3,2019-03,대구,7140
2019,3,2019-03,대전,1463
2019,3,2019-03,부산,1786
2019,3,2019-03,서울,9934
2019,3,2019-03,세종,535
2019,3,2019-03,울산,902
2019,3,2019-03,인천,1499
2019,3,2019-03,전남,2514
2019,3,2019-03,전북,1196
2019,3,2019-03,제주,15597
2019,3,2019-03,충남,1559
2019,3,2019-03,충북,1377
2019,4,2019-04,강원,1727
2019,4,2019-04,경기,7872
2019,4,2019-04,경남,2783
2019,4,2019-04,경북,2763
2019,4,2019-04,광주,1736
2019,4,2019-04,대구,7475
2019,4,2019-04,대전,1616
2019,4,2019-04,부산,1906
2019,4,2019-04,서울,10175
2019,4,2019-04,세종,642
2019,4,2019-04,울산,927
2019,4,2019-04,인천,1686
2019,4,2019-04,전남,2687
2019,4,2019-04,전북,1418
2019,4,2019-04,제주,16066
2019,4,2019-04,충남,2051
2019,4,2019-04,충북,1695
2019,5,2019-05,강원,1833
2019,5,2019-05,경기,8549
2019,5,2019-05,경남,3005
2019,5,2019-05,경북,2971
2019,5,2019-05,광주,1870
2019,5,2019-05,대구,7964
2019,5,2019-05,대전,1781
2019,5,2019-05,부산,2085
2019,5,2019-05,서울,10613
2019,5,2019-05,세종,728
2019,5,2019-05,울산,959
2019,5,2019-05,인천,1842
2019,5,2019-05,전남,2817
2019,5,2019-05,전북,1490
2019,5,2019-05,제주,16588
2019,5,2019-05,충남,2246
2019,5,2019-05,충북,1882
2019,6,2019-06,강원,1945
2019,6,2019-06,경기,9267
2019,6,2019-06,경남,3108
2019,6,2019-06,경북,3159
2019,6,2019-06,광주,2024
2019,6,2019-06,대구,8307
2019,6,2019-06,대전,1937
2019,6,2019-06,부산,2234
2019,6,2019-06,서울,11082
2019,6,2019-06,세종,800
2019,6,2019-06,울산,1019
2019,6,2019-06,인천,1985
2019,6,2019-06,전남,2979
2019,6,2019-06,전북,1586
2019,6,2019-06,제주,17101
2019,6,2019-06,충남,2308
2019,6,2019-06,충북,1973
2019,7,2019-07,강원,2114
2019,7,2019-07,경기,9877
2019,7,2019-07,경남,3258
2019,7,2019-07,경북,3409
2019,7,2019-07,광주,2140
2019,7,2019-07,대구,8656
2019,7,2019-07,대전,2117
2019,7,2019-07,부산,2410
2019,7,2019-07,서울,11764
2019,7,2019-07,세종,811
2019,7,2019-07,울산,1079
2019,7,2019-07,인천,2132
2019,7,2019-07,전남,3077
2019,7,2019-07,전북,1641
2019,7,2019-07,제주,17352
2019,7,2019-07,충남,2421
2019,7,2019-07,충북,2074
2019,8,2019-08,강원,2236
2019,8,2019-08,경기,10304
2019,8,2019-08,경남,3392
2019,8,2019-08,경북,3563
2019,8,2019-08,광주,2213
2019,8,2019-08,대구,9053
2019,8,2019-08,대전,2224
2019,8,2019-08,부산,2489
2019,8,2019-08,서울,12050
2019,8,2019-08,세종,826
2019,8,2019-08,울산,1123
2019,8,2019-08,인천,2210
2019,8,2019-08,전남,3122
2019,8,2019-08,전북,1700
2019,8,2019-08,제주,17559
2019,8,2019-08,충남,2490
2019,8,2019-08,충북,2106
2019,9,2019-09,강원,2339
2019,9,2019-09,경기,10657
2019,9,2019-09,경남,3458
2019,9,2019-09,경북,3670
2019,9,2019-09,광주,2283
2019,9,2019-09,대구,9403
2019,9,2019-09,대전,2303
2019,9,2019-09,부산,2567
2019,9,2019-09,서울,12389
2019,9,2019-09,세종,857
2019,9,2019-09,울산,1169
2019,9,2019-09,인천,2322
2019,9,2019-09,전남,3259
2019,9,2019-09,전북,1752
2019,9,2019-09,제주,17779
2019,9,2019-09,충남,2551
2019,9,2019-09,충북,2144
2019,10,2019-10,강원,2385
2019,10,2019-10,경기,11035
2019,10,2019-10,경남,3592
2019,10,2019-10,경북,3832
2019,10,2019-10,광주,2341
2019,10,2019-10,대구,9733
2019,10,2019-10,대전,2361
2019,10,2019-10,부산,2645
2019,10,2019-10,서울,12711
2019,10,2019-10,세종,867
2019,10,2019-10,울산,1198
2019,10,2019-10,인천,2412
2019,10,2019-10,전남,3278
2019,10,2019-10,전북,1804
2019,10,2019-10,제주,17933
2019,10,2019-10,충남,2649
2019,10,2019-10,충북,2271
2019,11,2019-11,강원,2430
2019,11,2019-11,경기,11388
2019,11,2019-11,경남,3623
2019,11,2019-11,경북,3956
2019,11,2019-11,광주,2389
2019,11,2019-11,대구,11016
2019,11,2019-11,대전,2429
2019,11,2019-11,부산,2953
2019,11,2019-11,서울,13726
2019,11,2019-11,세종,878
2019,11,2019-11,울산,1398
2019,11,2019-11,인천,2516
2019,11,2019-11,전남,3303
2019,11,2019-11,전북,1823
2019,11,2019-11,제주,18062
2019,11,2019-11,충남,2792
2019,11,2019-11,충북,2382
2019,12,2019-12,강원,2445
2019,12,2019-12,경기,11750
2019,12,2019-12,경남,3626
2019,12,2019-12,경북,4051
2019,12,2019-12,광주,2464
2019,12,2019-12,대구,11313
2019,12,2019-12,대전,2555
2019,12,2019-12,부산,3216
2019,12,2019-12,서울,14952
2019,12,2019-12,세종,903
2019,12,2019-12,울산,1447
2019,12,2019-12,인천,2598
2019,12,2019-12,전남,3326
2019,12,2019-12,전북,1841
2019,12,2019-12,제주,18178
2019,12,2019-12,충남,2841
2019,12,2019-12,충북,2412
2020,1,2020-01,강원,2448
2020,1,2020-01,경기,11809
2020,1,2020-01,경남,3634
2020,1,2020-01,경북,4071
2020,1,2020-01,광주,2479
2020,1,2020-01,대구,11274
2020,1,2020-01,대전,2618
2020,1,2020-01,부산,3223
2020,1,2020-01,서울,15353
2020,1,2020-01,세종,911
2020,1,2020-01,울산,1441
2020,1,2020-01,인천,2660
2020,1,2020-01,전남,3326
2020,1,2020-01,전북,1872
2020,1,2020-01,제주,18307
2020,1,2020-01,충남,2848
2020,1,2020-01,충북,2427
2020,2,2020-02,강원,2459
2020,2,2020-02,경기,12510
2020,2,2020-02,경남,3822
2020,2,2020-02,경북,4161
2020,2,2020-02,광주,2489
2020,2,2020-02,대구,11275
2020,2,2020-02,대전,2625
2020,2,2020-02,부산,3270
2020,2,2020-02,서울,16438
2020,2,2020-02,세종,933
2020,2,2020-02,울산,1464
2020,2,2020-02,인천,2791
2020,2,2020-02,전남,3346
2020,2,2020-02,전북,1920
2020,2,2020-02,제주,18684
2020,2,2020-02,충남,2928
2020,2,2020-02,충북,2457
2020,3,2020-03,강원,2640
2020,3,2020-03,경기,14100
2020,3,2020-03,경남,4295
2020,3,2020-03,경북,4441
2020,3,2020-03,광주,2660
2020,3,2020-03,대구,11641
2020,3,2020-03,대전,2865
2020,3,2020-03,부산,3624
2020,3,2020-03,서울,17172
2020,3,2020-03,세종,1017
2020,3,2020-03,울산,1650
2020,3,2020-03,인천,3270
2020,3,2020-03,전남,3893
2020,3,2020-03,전북,2270
2020,3,2020-03,제주,18793
2020,3,2020-03,충남,3281
2020,3,2020-03,충북,2617
2020,4,2020-04,강원,2753
2020,4,2020-04,경기,14546
2020,4,2020-04,경남,4432
2020,4,2020-04,경북,4682
2020,4,2020-04,광주,2710
2020,4,2020-04,대구,11878
2020,4,2020-04,대전,2962
2020,4,2020-04,부산,3883
2020,4,2020-04,서울,17622
2020,4,2020-04,세종,1024
2020,4,2020-04,울산,1738
2020,4,2020-04,인천,3345
2020,4,2020-04,전남,4067
2020,4,2020-04,전북,2467
2020,4,2020-04,제주,19092
2020,4,2020-04,충남,3560
2020,4,2020-04,충북,2939
2020,5,2020-05,강원,2839
2020,5,2020-05,경기,14876
2020,5,2020-05,경남,4568
2020,5,2020-05,경북,4818
2020,5,2020-05,광주,2745
2020,5,2020-05,대구,12160
2020,5,2020-05,대전,3001
2020,5,2020-05,부산,3936
2020,5,2020-05,서울,18098
2020,5,2020-05,세종,1030
2020,5,2020-05,울산,1774
2020,5,2020-05,인천,3402
2020,5,2020-05,전남,4125
2020,5,2020-05,전북,2561
2020,5,2020-05,제주,19388
2020,5,2020-05,충남,3701
2020,5,2020-05,충북,3077
2020,6,2020-06,강원,2952
2020,6,2020-06,경기,15946
2020,6,2020-06,경남,4805
2020,6,2020-06,경북,4980
2020,6,2020-06,광주,2844
2020,6,2020-06,대구,12356
2020,6,2020-06,대전,3126
2020,6,2020-06,부산,4100
2020,6,2020-06,서울,19411
2020,6,2020-06,세종,1044
2020,6,2020-06,울산,2110
2020,6,2020-06,인천,3741
2020,6,2020-06,전남,4323
2020,6,2020-06,전북,2745
2020,6,2020-06,제주,19705
2020,6,2020-06,충남,3920
2020,6,2020-06,충북,3199
2020,7,2020-07,강원,3025
2020,7,2020-07,경기,16508
2020,7,2020-07,경남,4886
2020,7,2020-07,경북,5192
2020,7,2020-07,광주,2962
2020,7,2020-07,대구,12454
2020,7,2020-07,대전,3204
2020,7,2020-07,부산,4216
2020,7,2020-07,서울,20003
2020,7,2020-07,세종,1057
2020,7,2020-07,울산,2119
2020,7,2020-07,인천,3940
2020,7,2020-07,전남,4444
2020,7,2020-07,전북,2848
2020,7,2020-07,제주,20105
2020,7,2020-07,충남,4087
2020,7,2020-07,충북,3268
2020,8,2020-08,강원,3091
2020,8,2020-08,경기,17197
2020,8,2020-08,경남,5003
2020,8,2020-08,경북,5400
2020,8,2020-08,광주,3046
2020,8,2020-08,대구,12468
2020,8,2020-08,대전,3338
2020,8,2020-08,부산,4320
2020,8,2020-08,서울,20997
2020,8,2020-08,세종,1076
2020,8,2020-08,울산,2142
2020,8,2020-08,인천,4204
2020,8,2020-08,전남,4576
2020,8,2020-08,전북,2906
2020,8,2020-08,제주,20699
2020,8,2020-08,충남,4252
2020,8,2020-08,충북,3319
2020,9,2020-09,강원,3340
2020,9,2020-09,경기,18512
2020,9,2020-09,경남,5617
2020,9,2020-09,경북,5816
2020,9,2020-09,광주,3151
2020,9,2020-09,대구,12552
2020,9,2020-09,대전,4083
2020,9,2020-09,부산,4420
2020,9,2020-09,서울,22118
2020,9,2020-09,세종,1100
2020,9,2020-09,울산,2204
2020,9,2020-09,인천,4639
2020,9,2020-09,전남,4759
2020,9,2020-09,전북,2977
2020,9,2020-09,제주,21107
2020,9,2020-09,충남,4547
2020,9,2020-09,충북,3467
2020,10,2020-10,강원,3567
2020,10,2020-10,경기,19332
2020,10,2020-10,경남,5924
2020,10,2020-10,경북,6314
2020,10,2020-10,광주,3158
2020,10,2020-10,대구,12550
2020,10,2020-10,대전,4197
2020,10,2020-10,부산,4696
2020,10,2020-10,서울,22676
2020,10,2020-10,세종,1106
2020,10,2020-10,울산,2221
2020,10,2020-10,인천,4729
2020,10,2020-10,전남,4896
2020,10,2020-10,전북,3130
2020,10,2020-10,제주,21222
2020,10,2020-10,충남,4878
2020,10,2020-10,충북,3662
2020,11,2020-11,강원,3810
2020,11,2020-11,경기,19903
2020,11,2020-11,경남,6137
2020,11,2020-11,경북,6753
2020,11,2020-11,광주,3162
2020,11,2020-11,대구,12570
2020,11,2020-11,대전,4415
2020,11,2020-11,부산,5210
2020,11,2020-11,서울,23052
2020,11,2020-11,세종,1127
2020,11,2020-11,울산,2249
2020,11,2020-11,인천,4999
2020,11,2020-11,전남,5055
2020,11,2020-11,전북,3269
2020,11,2020-11,제주,21261
2020,11,2020-11,충남,5157
2020,11,2020-11,충북,3794
2020,12,2020-12,강원,4078
2020,12,2020-12,경기,20477
2020,12,2020-12,경남,6308
2020,12,2020-12,경북,7051
2020,12,2020-12,광주,3210
2020,12,2020-12,대구,12630
2020,12,2020-12,대전,4469
2020,12,2020-12,부산,5355
2020,12,2020-12,서울,23393
2020,12,2020-12,세종,1148
2020,12,2020-12,울산,2274
2020,12,2020-12,인천,5366
2020,12,2020-12,전남,5223
2020,12,2020-12,전북,3323
2020,12,2020-12,제주,21285
2020,12,2020-12,충남,5489
2020,12,2020-12,충북,3883
2021,1,2021-01,강원,4076
2021,1,2021-01,경기,20670
2021,1,2021-01,경남,6369
2021,1,2021-01,경북,7066
2021,1,2021-01,광주,3210
2021,1,2021-01,대구,12557
2021,1,2021-01,대전,4463
2021,1,2021-01,부산,5409
2021,1,2021-01,서울,23441
2021,1,2021-01,세종,1157
2021,1,2021-01,울산,2269
2021,1,2021-01,인천,5428
2021,1,2021-01,전남,5251
2021,1,2021-01,전북,3360
2021,1,2021-01,제주,21206
2021,1,2021-01,충남,5562
2021,1,2021-01,충북,3897
2021,2,2021-02,강원,4086
2021,2,2021-02,경기,21100
2021,2,2021-02,경남,6552
2021,2,2021-02,경북,7149
2021,2,2021-02,광주,3200
2021,2,2021-02,대구,12846
2021,2,2021-02,대전,4462
2021,2,2021-02,부산,5512
2021,2,2021-02,서울,23381
2021,2,2021-02,세종,1186
2021,2,2021-02,울산,2284
2021,2,2021-02,인천,5517
2021,2,2021-02,전남,5415
2021,2,2021-02,전북,3363
2021,2,2021-02,제주,21297
2021,2,2021-02,충남,5575
2021,2,2021-02,충북,4338
2021,3,2021-03,강원,4280
