기준월,연도,월,시도,예측값,value_status,component_moe_scaled,component_load_share,weight_moe,weight_load,모형ID,충전량_kWh,관측값,estimated_value,출처ID
2019-01,2019,1,강원,56414.32,estimated,56414.32,153119.81,1.0,0.0,kepco_hybrid_moe_load_v1,56414.32,,56414.32,kepco_hybrid_forecast_v1
2019-01,2019,1,경기,121169.83,estimated,121169.83,572351.31,1.0,0.0,kepco_hybrid_moe_load_v1,121169.83,,121169.83,kepco_hybrid_forecast_v1
2019-01,2019,1,경남,79264.54,estimated,79264.54,192191.77,1.0,0.0,kepco_hybrid_moe_load_v1,79264.54,,79264.54,kepco_hybrid_forecast_v1
2019-01,2019,1,경북,64171.87,estimated,64171.87,167903.8,1.0,0.0,kepco_hybrid_moe_load_v1,64171.87,,64171.87,kepco_hybrid_forecast_v1
2019-01,2019,1,광주,19973.05,estimated,19973.05,69695.92,1.0,0.0,kepco_hybrid_moe_load_v1,19973.05,,19973.05,kepco_hybrid_forecast_v1
2019-01,2019,1,대구,100344.15,estimated,100344.15,155231.81,1.0,0.0,kepco_hybrid_moe_load_v1,100344.15,,100344.15,kepco_hybrid_forecast_v1
2019-01,2019,1,대전,17132.01,estimated,17132.01,81311.9,1.0,0.0,kepco_hybrid_moe_load_v1,17132.01,,17132.01,kepco_hybrid_forecast_v1
2019-01,2019,1,부산,24674.98,estimated,24674.98,111935.86,1.0,0.0,kepco_hybrid_moe_load_v1,24674.98,,24674.98,kepco_hybrid_forecast_v1
2019-01,2019,1,서울,64320.56,estimated,64320.56,468863.43,1.0,0.0,kepco_hybrid_moe_load_v1,64320.56,,64320.56,kepco_hybrid_forecast_v1
2019-01,2019,1,세종,18058.34,estimated,18058.34,59135.93,1.0,0.0,kepco_hybrid_moe_load_v1,18058.34,,18058.34,kepco_hybrid_forecast_v1
2019-01,2019,1,울산,7256.31,estimated,7256.31,38015.95,1.0,0.0,kepco_hybrid_moe_load_v1,7256.31,,7256.31,kepco_hybrid_forecast_v1
2019-01,2019,1,인천,16841.88,estimated,16841.88,111935.86,1.0,0.0,kepco_hybrid_moe_load_v1,16841.88,,16841.88,kepco_hybrid_forecast_v1
2019-01,2019,1,전남,55928.51,estimated,55928.51,165791.8,1.0,0.0,kepco_hybrid_moe_load_v1,55928.51,,55928.51,kepco_hybrid_forecast_v1
2019-01,2019,1,전북,26083.82,estimated,26083.82,129887.84,1.0,0.0,kepco_hybrid_moe_load_v1,26083.82,,26083.82,kepco_hybrid_forecast_v1
2019-01,2019,1,제주,177465.14,estimated,177465.14,175295.79,1.0,0.0,kepco_hybrid_moe_load_v1,177465.14,,177465.14,kepco_hybrid_forecast_v1
2019-01,2019,1,충남,28215.87,estimated,28215.87,108767.87,1.0,0.0,kepco_hybrid_moe_load_v1,28215.87,,28215.87,kepco_hybrid_forecast_v1
2019-01,2019,1,충북,58918.04,estimated,58918.04,138335.83,1.0,0.0,kepco_hybrid_moe_load_v1,58918.04,,58918.04,kepco_hybrid_forecast_v1
2019-02,2019,2,강원,47360.76,estimated,47360.76,129144.31,1.0,0.0,kepco_hybrid_moe_load_v1,47360.76,,47360.76,kepco_hybrid_forecast_v1
