기준월,전기차등록대수,충전량_kWh,활성충전기수
2019-01,56085,772010.97,977.0
2019-02,56532,750043.27,1227.0
2019-03,60952,918098.62,1638.0
2019-04,65225,1148165.66,1775.0
2019-05,69223,1417448.37,1924.0
2019-06,72814,1584942.76,1962.0
2019-07,76332,1796119.67,1970.0
2019-08,78660,2128276.37,1982.0
2019-09,80902,1869647.03,1975.0
2019-10,83047,1995426.08,1987.0
2019-11,87064,2138527.17,1993.0
2019-12,89918,2259541.82,2100.0
2020-01,90701,2147203.16,2393.0
2020-02,93572,1684457.47,2000.0
2020-03,100229,1690294.75,2390.0
2020-04,103700,1866003.67,2500.0
2020-05,106099,2107080.77,2627.0
2020-06,111307,2309854.01,2797.0
2020-07,114318,2594622.0700000003,2880.0
2020-08,118034,3120476.32,3036.0
2020-09,124409,2835128.15,3103.0
2020-10,128258,3673469.06,3214.0
2020-11,131923,3751773.73,3457.0
2020-12,134962,3974770.57,3652.0
2021-01,135391,3804510.42,3700.0
2021-02,137263,3596807.67,3725.0
2021-03,147686,4132835.73,3793.0
2021-04,151991,4113253.83,4102.0
2021-05,159851,4148409.58,4385.0
2021-06,173147,4356105.15,4596.0
2021-07,180966,5401952.93,4789.0
2021-08,191065,5592959.99,4863.0
2021-09,201520,5722578.69,4843.0
2021-10,211677,6669453.13,5015.0
2021-11,222968,7549369.33,5217.0
2021-12,231443,8477799.44,5371.0
2022-01,232970,8221930.2,5461.0
2022-02,241182,6952660.51,5389.0
2022-03,258253,8392395.06,5503.0
2022-04,272656,9402588.49,5637.0
2022-05,286258,10606261.85,5568.0
2022-06,298633,10965063.69,5785.0
2022-07,313801,12747857.27,6031.0
2022-08,328267,13294915.04,5980.0
2022-09,347395,12506703.82,6258.0
2022-10,365570,14248268.08,6439.0
2022-11,381725,14407565.2,6709.0
2022-12,389855,16403382.1,6706.0
2023-01,390403,14654879.05,6509.0
2023-02,401211,12472779.33,6601.0
2023-03,422383,12951925.43,6639.0
2023-04,437486,12480085.51,6581.0
2023-05,450731,12786750.29,6682.0
2023-06,464928,12665025.28,6863.0
2023-07,478848,13394821.62,6805.0
2023-08,488216,14417665.08,6712.0
2023-09,501485,12225034.69,6918.0
2023-10,515908,13231554.21,7221.0
2023-11,531812,14362464.7,7295.0
2023-12,543900,15005325.44,7549.0
2024-01,545787,13815219.08,7575.0
2024-02,547455,12019196.55,7676.0
2024-03,567950,12136816.11,7642.0
2024-04,578721,10792942.8,7678.0
2024-05,591597,11235951.27,7825.0
2024-06,606610,11006600.16,7876.0
2024-07,621071,11681440.57,7920.0
2024-08,635847,13314231.81,7966.0
2024-09,647446,12227106.24,8034.0
2024-10,661141,11924006.62,8078.0
2024-11,676992,12678795.17,8406.0
2024-12,684244,14146129.03,8067.0
2025-01,686041,13751776.43,8172.0
2025-02,698807,12327325.86,8345.0
2025-03,716310,11517819.43,8310.0
2025-04,733030,11195736.55,8394.0
2025-05,754106,11879146.3,8398.0
2025-06,774878,11533891.23,8387.0
2025-07,799364,13624869.03,8400.0
2025-08,822081,14022664.67,8392.0
