연도,시도,기간상태,전기차등록대수,사용기준월,설치누적,신규설치,설비상태,충전량_kWh,충전횟수,충전시간_h,활성충전기수,관측월수,월평균충전량,피크월,피크충전량,평균초과율,EV천대당설치급속,EV천대당활성급속,설치급속당충전량,활성기당충전량
2019,강원,complete,2445,12,435.0,174.0,observed,1269332.69,77219.0,18878.06,257.0,12.0,105777.72,8.0,162794.54,53.9,177.91,105.11,2918.01,4939.04
2019,경기,complete,11750,12,500.0,236.0,observed,2384889.18,144007.0,36806.78,243.0,12.0,198740.76,12.0,293410.96,47.64,42.55,20.68,4769.78,9814.36
2019,경남,complete,3626,12,394.0,210.0,observed,1397832.02,84179.0,21915.61,175.0,12.0,116486.0,8.0,161105.7,38.3,108.66,48.26,3547.8,7987.61
2019,경북,complete,4051,12,561.0,260.0,observed,2948049.8,175875.0,44969.58,289.0,12.0,245670.82,12.0,356049.56,44.93,138.48,71.34,5254.99,10200.86
2019,광주,complete,2464,12,83.0,47.0,observed,312279.34,18029.0,3971.16,42.0,12.0,26023.28,12.0,47802.88,83.69,33.69,17.05,3762.4,7435.22
2019,대구,complete,11313,12,140.0,62.0,observed,843014.18,50757.0,11963.83,78.0,12.0,70251.18,12.0,98566.21,40.31,12.38,6.89,6021.53,10807.87
2019,대전,complete,2555,12,94.0,54.0,observed,490034.49,26299.0,5729.4,66.0,12.0,40836.21,12.0,73077.69,78.95,36.79,25.83,5213.13,7424.76
2019,부산,complete,3216,12,84.0,33.0,observed,309271.34,18881.0,4504.06,41.0,12.0,25772.61,12.0,42229.85,63.86,26.12,12.75,3681.8,7543.2
2019,서울,complete,14952,12,215.0,81.0,observed,689729.37,42195.0,9641.08,80.0,12.0,57477.45,12.0,93950.22,63.46,14.38,5.35,3208.04,8621.62
2019,세종,complete,903,12,44.0,22.0,observed,173155.0,11130.0,2519.29,24.0,12.0,14429.58,4.0,19599.07,35.83,48.73,26.58,3935.34,7214.79
2019,울산,complete,1447,12,124.0,57.0,observed,451165.98,26106.0,6314.78,84.0,12.0,37597.16,12.0,67104.12,78.48,85.69,58.05,3638.44,5371.02
2019,인천,complete,2598,12,120.0,51.0,observed,488098.13,28656.0,6400.58,61.0,12.0,40674.84,12.0,71695.98,76.27,46.19,23.48,4067.48,8001.61
2019,전남,complete,3326,12,395.0,193.0,observed,987636.92,63295.0,15424.51,186.0,12.0,82303.08,8.0,120824.72,46.8,118.76,55.92,2500.35,5309.88
2019,전북,complete,1841,12,306.0,153.0,observed,1215622.83,68751.0,17273.34,136.0,12.0,101301.9,11.0,142026.4,40.2,166.21,73.87,3972.62,8938.4
2019,제주,complete,18178,12,184.0,57.0,observed,1431476.96,96272.0,23154.26,86.0,12.0,119289.75,8.0,181736.61,52.35,10.12,4.73,7779.77,16645.08
2019,충남,complete,2841,12,416.0,232.0,observed,1732044.86,99832.0,25115.31,168.0,12.0,144337.07,12.0,203556.87,41.03,146.43,59.13,4163.57,10309.79
2019,충북,complete,2412,12,293.0,129.0,observed,1654614.7,97023.0,24705.22,151.0,12.0,137884.56,12.0,193726.27,40.5,121.48,62.6,5647.15,10957.71
2020,강원,complete,4078,12,539.0,104.0,observed,1966524.91,123048.0,30387.16,373.0,12.0,163877.08,12.0,267930.32,63.49,132.17,91.47,3648.47,5272.18
