기준월,연도,월,시도,metric_name,예측값,하한_80,상한_80,모형ID,train_start,train_end,backtest_wape,value_status,generated_at,예측버전
2025-09,2025,9,서울,charge_kwh_sum,523302.49,469350.0,673490.3,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,서울,charge_kwh_sum,512029.07,459238.87,658981.41,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,서울,charge_kwh_sum,562368.12,504387.97,723767.77,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,서울,charge_kwh_sum,682802.41,612405.48,878766.7,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,부산,charge_kwh_sum,237872.54,213347.88,306141.96,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,부산,charge_kwh_sum,223834.5,200757.16,288075.0,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,부산,charge_kwh_sum,229851.77,206154.05,295819.23,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,부산,charge_kwh_sum,254527.21,228285.45,327576.52,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,대구,charge_kwh_sum,302875.16,271648.73,389800.33,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,대구,charge_kwh_sum,295084.11,264660.94,379773.25,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,대구,charge_kwh_sum,311084.61,279011.79,400365.89,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,대구,charge_kwh_sum,359611.07,322535.17,462819.45,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,인천,charge_kwh_sum,483496.44,433647.96,622259.92,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
