cutoff_year,기준월,시도,모형ID,actual,forecast,잔차,pct_error
2021,2021-09,서울,seasonal_naive,352970.72,158150.29,-194820.43,-55.19
2021,2021-09,서울,seasonal_growth,352970.72,197687.86,-155282.86,-43.99
2021,2021-10,서울,seasonal_naive,408995.23,209775.98,-199219.25,-48.71
2021,2021-10,서울,seasonal_growth,408995.23,262219.98,-146775.25,-35.89
2021,2021-11,서울,seasonal_naive,483004.51,219147.79,-263856.72,-54.63
2021,2021-11,서울,seasonal_growth,483004.51,273934.74,-209069.77,-43.29
2021,2021-12,서울,seasonal_naive,575795.28,213946.1,-361849.18,-62.84
2021,2021-12,서울,seasonal_growth,575795.28,267432.62,-308362.66,-53.55
2021,2021-09,부산,seasonal_naive,112758.58,50368.75,-62389.83,-55.33
2021,2021-09,부산,seasonal_growth,112758.58,62960.94,-49797.64,-44.16
2021,2021-10,부산,seasonal_naive,145554.74,63323.17,-82231.57,-56.5
2021,2021-10,부산,seasonal_growth,145554.74,79153.96,-66400.78,-45.62
2021,2021-11,부산,seasonal_naive,177135.26,67203.95,-109931.31,-62.06
2021,2021-11,부산,seasonal_growth,177135.26,84004.94,-93130.32,-52.58
2021,2021-12,부산,seasonal_naive,213815.7,91453.95,-122361.75,-57.23
2021,2021-12,부산,seasonal_growth,213815.7,114317.44,-99498.26,-46.53
2021,2021-09,대구,seasonal_naive,192262.37,195416.1,3153.73,1.64
2021,2021-09,대구,seasonal_growth,192262.37,244270.12,52007.76,27.05
2021,2021-10,대구,seasonal_naive,224444.56,225822.84,1378.28,0.61
2021,2021-10,대구,seasonal_growth,224444.56,282278.55,57833.99,25.77
2021,2021-11,대구,seasonal_naive,268739.65,213986.7,-54752.95,-20.37
2021,2021-11,대구,seasonal_growth,268739.65,267483.38,-1256.28,-0.47
2021,2021-12,대구,seasonal_naive,292940.03,214723.5,-78216.53,-26.7
2021,2021-12,대구,seasonal_growth,292940.03,268404.38,-24535.66,-8.38
2021,2021-09,인천,seasonal_naive,255481.53,105418.23,-150063.3,-58.74
2021,2021-09,인천,seasonal_growth,255481.53,131772.79,-123708.74,-48.42
2021,2021-10,인천,seasonal_naive,304607.78,135530.77,-169077.01,-55.51
2021,2021-10,인천,seasonal_growth,304607.78,169413.46,-135194.32,-44.38
2021,2021-11,인천,seasonal_naive,370879.59,139118.56,-231761.03,-62.49
2021,2021-11,인천,seasonal_growth,370879.59,173898.2,-196981.39,-53.11
2021,2021-12,인천,seasonal_naive,422592.74,126973.59,-295619.15,-69.95
2021,2021-12,인천,seasonal_growth,422592.74,158716.99,-263875.75,-62.44
2021,2021-09,광주,seasonal_naive,122601.69,68603.98,-53997.71,-44.04
2021,2021-09,광주,seasonal_growth,122601.69,85754.97,-36846.72,-30.05
2021,2021-10,광주,seasonal_naive,143453.3,77933.82,-65519.48,-45.67
2021,2021-10,광주,seasonal_growth,143453.3,97417.28,-46036.02,-32.09
2021,2021-11,광주,seasonal_naive,155536.16,78844.87,-76691.29,-49.31
2021,2021-11,광주,seasonal_growth,155536.16,98556.09,-56980.07,-36.63
2021,2021-12,광주,seasonal_naive,177325.32,82425.19,-94900.13,-53.52
2021,2021-12,광주,seasonal_growth,177325.32,103031.49,-74293.83,-41.9
2021,2021-09,대전,seasonal_naive,186967.51,110410.76,-76556.75,-40.95
2021,2021-09,대전,seasonal_growth,186967.51,138013.45,-48954.06,-26.18
2021,2021-10,대전,seasonal_naive,215106.05,148073.18,-67032.87,-31.16
2021,2021-10,대전,seasonal_growth,215106.05,185091.47,-30014.58,-13.95
2021,2021-11,대전,seasonal_naive,244328.72,154191.96,-90136.76,-36.89
2021,2021-11,대전,seasonal_growth,244328.72,192739.95,-51588.77,-21.11
2021,2021-12,대전,seasonal_naive,269491.4,155441.04,-114050.36,-42.32
2021,2021-12,대전,seasonal_growth,269491.4,194301.3,-75190.1,-27.9
2021,2021-09,울산,seasonal_naive,107596.14,63412.08,-44184.06,-41.06
2021,2021-09,울산,seasonal_growth,107596.14,79265.1,-28331.04,-26.33
2021,2021-10,울산,seasonal_naive,136050.17,66138.1,-69912.07,-51.39
2021,2021-10,울산,seasonal_growth,136050.17,82672.62,-53377.55,-39.23
2021,2021-11,울산,seasonal_naive,142238.22,59907.71,-82330.51,-57.88
2021,2021-11,울산,seasonal_growth,142238.22,74884.64,-67353.58,-47.35
2021,2021-12,울산,seasonal_naive,158129.4,72214.78,-85914.62,-54.33
2021,2021-12,울산,seasonal_growth,158129.4,90268.48,-67860.92,-42.91
2021,2021-09,세종,seasonal_naive,31762.04,29854.83,-1907.21,-6.0
2021,2021-09,세종,seasonal_growth,31762.04,37318.54,5556.5,17.49
2021,2021-10,세종,seasonal_naive,36847.82,35648.1,-1199.72,-3.26
2021,2021-10,세종,seasonal_growth,36847.82,44560.12,7712.31,20.93
2021,2021-11,세종,seasonal_naive,41124.71,41966.06,841.35,2.05
2021,2021-11,세종,seasonal_growth,41124.71,52457.57,11332.86,27.56
2021,2021-12,세종,seasonal_naive,49904.63,58176.91,8272.28,16.58
2021,2021-12,세종,seasonal_growth,49904.63,72721.14,22816.51,45.72
2021,2021-09,경기,seasonal_naive,923028.1,386819.53,-536208.57,-58.09
2021,2021-09,경기,seasonal_growth,923028.1,483524.41,-439503.69,-47.62
2021,2021-10,경기,seasonal_naive,1050943.59,506190.99,-544752.6,-51.83
2021,2021-10,경기,seasonal_growth,1050943.59,632738.74,-418204.85,-39.79
2021,2021-11,경기,seasonal_naive,1235869.62,525719.62,-710150.0,-57.46
2021,2021-11,경기,seasonal_growth,1235869.62,657149.53,-578720.1,-46.83
2021,2021-12,경기,seasonal_naive,1412007.43,533645.06,-878362.37,-62.21
2021,2021-12,경기,seasonal_growth,1412007.43,667056.33,-744951.1,-52.76
2021,2021-09,강원,seasonal_naive,421467.85,149142.62,-272325.23,-64.61
2021,2021-09,강원,seasonal_growth,421467.85,186428.27,-235039.57,-55.77
2021,2021-10,강원,seasonal_naive,510883.04,220840.58,-290042.46,-56.77
2021,2021-10,강원,seasonal_growth,510883.04,276050.72,-234832.32,-45.97
2021,2021-11,강원,seasonal_naive,572462.52,221498.56,-350963.96,-61.31
2021,2021-11,강원,seasonal_growth,572462.52,276873.2,-295589.32,-51.63
2021,2021-12,강원,seasonal_naive,637181.89,267930.32,-369251.57,-57.95
2021,2021-12,강원,seasonal_growth,637181.89,334912.9,-302268.99,-47.44
2021,2021-09,충북,seasonal_naive,430151.51,201248.01,-228903.5,-53.21
2021,2021-09,충북,seasonal_growth,430151.51,251560.01,-178591.5,-41.52
2021,2021-10,충북,seasonal_naive,507143.32,262224.21,-244919.11,-48.29
2021,2021-10,충북,seasonal_growth,507143.32,327780.26,-179363.06,-35.37
2021,2021-11,충북,seasonal_naive,578246.4,282565.04,-295681.36,-51.13
2021,2021-11,충북,seasonal_growth,578246.4,353206.3,-225040.1,-38.92
2021,2021-12,충북,seasonal_naive,652350.61,298545.89,-353804.72,-54.24
2021,2021-12,충북,seasonal_growth,652350.61,373182.36,-279168.25,-42.79
2021,2021-09,충남,seasonal_naive,471378.17,263721.55,-207656.62,-44.05
2021,2021-09,충남,seasonal_growth,471378.17,329651.94,-141726.23,-30.07
2021,2021-10,충남,seasonal_naive,560232.04,339233.84,-220998.2,-39.45
2021,2021-10,충남,seasonal_growth,560232.04,424042.3,-136189.74,-24.31
2021,2021-11,충남,seasonal_naive,620354.42,337322.03,-283032.39,-45.62
2021,2021-11,충남,seasonal_growth,620354.42,421652.54,-198701.88,-32.03
2021,2021-12,충남,seasonal_naive,673917.03,333789.09,-340127.94,-50.47
2021,2021-12,충남,seasonal_growth,673917.03,417236.36,-256680.67,-38.09
2021,2021-09,전북,seasonal_naive,410044.7,163768.31,-246276.39,-60.06
2021,2021-09,전북,seasonal_growth,410044.7,204710.39,-205334.31,-50.08
2021,2021-10,전북,seasonal_naive,479850.83,209783.45,-270067.38,-56.28
2021,2021-10,전북,seasonal_growth,479850.83,262229.31,-217621.52,-45.35
2021,2021-11,전북,seasonal_naive,540655.4,215732.18,-324923.22,-60.1
2021,2021-11,전북,seasonal_growth,540655.4,269665.22,-270990.18,-50.12
2021,2021-12,전북,seasonal_naive,590032.92,201905.97,-388126.95,-65.78
2021,2021-12,전북,seasonal_growth,590032.92,252382.46,-337650.46,-57.23
2021,2021-09,전남,seasonal_naive,298143.83,143930.5,-154213.33,-51.72
2021,2021-09,전남,seasonal_growth,298143.83,179913.12,-118230.71,-39.66
2021,2021-10,전남,seasonal_naive,337241.58,192443.31,-144798.27,-42.94
2021,2021-10,전남,seasonal_growth,337241.58,240554.14,-96687.44,-28.67
2021,2021-11,전남,seasonal_naive,366641.89,184315.53,-182326.36,-49.73
2021,2021-11,전남,seasonal_growth,366641.89,230394.41,-136247.48,-37.16
2021,2021-12,전남,seasonal_naive,392144.09,210353.58,-181790.51,-46.36
2021,2021-12,전남,seasonal_growth,392144.09,262941.97,-129202.12,-32.95
2021,2021-09,경북,seasonal_naive,718803.67,391883.3,-326920.37,-45.48
2021,2021-09,경북,seasonal_growth,718803.67,489854.12,-228949.55,-31.85
2021,2021-10,경북,seasonal_naive,837003.56,529307.55,-307696.01,-36.76
2021,2021-10,경북,seasonal_growth,837003.56,661634.44,-175369.12,-20.95
2021,2021-11,경북,seasonal_naive,904652.84,541650.56,-363002.28,-40.13
2021,2021-11,경북,seasonal_growth,904652.84,677063.2,-227589.64,-25.16
2021,2021-12,경북,seasonal_naive,985936.52,597792.01,-388144.51,-39.37
2021,2021-12,경북,seasonal_growth,985936.52,747240.01,-238696.51,-24.21
2021,2021-09,경남,seasonal_naive,457438.18,210636.67,-246801.51,-53.95
2021,2021-09,경남,seasonal_growth,457438.18,263295.84,-194142.34,-42.44
2021,2021-10,경남,seasonal_naive,520207.86,276141.97,-244065.89,-46.92
2021,2021-10,경남,seasonal_growth,520207.86,345177.46,-175030.4,-33.65
2021,2021-11,경남,seasonal_naive,599980.68,285527.16,-314453.52,-52.41
2021,2021-11,경남,seasonal_growth,599980.68,356908.95,-243071.73,-40.51
2021,2021-12,경남,seasonal_naive,706502.5,354419.85,-352082.65,-49.83
2021,2021-12,경남,seasonal_growth,706502.5,443024.81,-263477.69,-37.29
2021,2021-09,제주,seasonal_naive,229722.1,142342.64,-87379.46,-38.04
2021,2021-09,제주,seasonal_growth,229722.1,177928.3,-51793.8,-22.55
2021,2021-10,제주,seasonal_naive,250887.66,175057.2,-75830.46,-30.22
2021,2021-10,제주,seasonal_growth,250887.66,218821.5,-32066.16,-12.78
2021,2021-11,제주,seasonal_naive,247518.74,183075.45,-64443.29,-26.04
2021,2021-11,제주,seasonal_growth,247518.74,228844.31,-18674.43,-7.54
2021,2021-12,제주,seasonal_naive,267731.95,161033.74,-106698.21,-39.85
2021,2021-12,제주,seasonal_growth,267731.95,201292.17,-66439.78,-24.82
2022,2022-09,서울,seasonal_naive,709467.66,352970.72,-356496.94,-50.25
2022,2022-09,서울,seasonal_growth,709467.66,441213.4,-268254.26,-37.81
2022,2022-10,서울,seasonal_naive,755576.99,408995.23,-346581.76,-45.87
2022,2022-10,서울,seasonal_growth,755576.99,511244.04,-244332.95,-32.34
2022,2022-11,서울,seasonal_naive,789958.54,483004.51,-306954.03,-38.86
2022,2022-11,서울,seasonal_growth,789958.54,603755.64,-186202.9,-23.57
2022,2022-12,서울,seasonal_naive,1048050.26,575795.28,-472254.98,-45.06
2022,2022-12,서울,seasonal_growth,1048050.26,719744.1,-328306.16,-31.33
2022,2022-09,부산,seasonal_naive,309076.02,112758.58,-196317.44,-63.52
2022,2022-09,부산,seasonal_growth,309076.02,140948.23,-168127.8,-54.4
2022,2022-10,부산,seasonal_naive,332801.35,145554.74,-187246.61,-56.26
2022,2022-10,부산,seasonal_growth,332801.35,181943.42,-150857.92,-45.33
2022,2022-11,부산,seasonal_naive,340949.0,177135.26,-163813.74,-48.05
