기준월,연도,월,시도,metric_name,예측값,component_moe_scaled,component_load_share,weight_moe,weight_load,ratio_applied,load_index_applied,모형ID,value_status,data_quality_note,generated_at,예측버전
2019-01,2019,1,서울,charge_kwh_sum,64320.56,64320.56,468863.43,1.0,0.0,2.2049,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,부산,charge_kwh_sum,24674.98,24674.98,111935.86,1.0,0.0,2.0446,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,대구,charge_kwh_sum,100344.15,100344.15,155231.81,1.0,0.0,2.2181,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,인천,charge_kwh_sum,16841.88,16841.88,111935.86,1.0,0.0,1.2018,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,광주,charge_kwh_sum,19973.05,19973.05,69695.92,1.0,0.0,2.305,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,대전,charge_kwh_sum,17132.01,17132.01,81311.9,1.0,0.0,1.7782,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,울산,charge_kwh_sum,7256.31,7256.31,38015.95,1.0,0.0,0.5719,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,세종,charge_kwh_sum,18058.34,18058.34,59135.93,1.0,0.0,2.8987,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,경기,charge_kwh_sum,121169.83,121169.83,572351.31,1.0,0.0,1.1309,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,강원,charge_kwh_sum,56414.32,56414.32,153119.81,1.0,0.0,1.1109,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,충북,charge_kwh_sum,58918.04,58918.04,138335.83,1.0,0.0,0.688,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,충남,charge_kwh_sum,28215.87,28215.87,108767.87,1.0,0.0,0.4585,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,전북,charge_kwh_sum,26083.82,26083.82,129887.84,1.0,0.0,0.6028,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,전남,charge_kwh_sum,55928.51,55928.51,165791.8,1.0,0.0,1.6269,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,경북,charge_kwh_sum,64171.87,64171.87,167903.8,1.0,0.0,0.5455,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-01,2019,1,경남,charge_kwh_sum,79264.54,79264.54,192191.77,1.0,0.0,1.2273,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
