기준월,시도,actual,forecast,component_moe_scaled,component_load_share,weight_moe,weight_load,잔차,pct_error
2020-01,서울,322342.67,188523.19,188523.19,438721.1,1.0,0.0,-133819.48,-41.51
2020-01,부산,85880.9,81845.62,81845.62,106245.61,1.0,0.0,-4035.28,-4.7
2020-01,대구,248281.54,249803.41,249803.41,147461.58,1.0,0.0,1521.87,0.61
2020-01,인천,90815.89,80957.49,80957.49,111741.07,1.0,0.0,-9858.4,-10.86
2020-01,광주,138395.36,97928.59,97928.59,72356.93,1.0,0.0,-40466.77,-29.24
2020-01,대전,121197.56,121011.04,121011.04,79684.21,1.0,0.0,-186.52,-0.15
2020-01,울산,34228.55,32175.71,32175.71,34804.6,1.0,0.0,-2052.84,-6.0
2020-01,세종,59250.82,50776.11,50776.11,54038.72,1.0,0.0,-8474.71,-14.3
2020-01,경기,353691.42,302350.81,302350.81,544050.81,1.0,0.0,-51340.61,-14.52
2020-01,강원,186125.13,167172.85,167172.85,151125.22,1.0,0.0,-18952.28,-10.18
2020-01,충북,130467.23,126524.65,126524.65,141050.21,1.0,0.0,-3942.58,-3.02
2020-01,충남,91235.68,87674.44,87674.44,125479.73,1.0,0.0,-3561.24,-3.9
2020-01,전북,92496.1,80143.58,80143.58,128227.46,1.0,0.0,-12352.52,-13.35
2020-01,전남,206836.92,161167.11,161167.11,154788.87,1.0,0.0,-45669.81,-22.08
2020-01,경북,190486.85,189143.27,189143.27,214323.04,1.0,0.0,-1343.58,-0.71
2020-01,경남,177624.03,176213.06,176213.06,243632.18,1.0,0.0,-1410.97,-0.79
2020-01,제주,370415.83,363692.9,363692.9,152041.13,1.0,0.0,-6722.93,-1.81
2020-02,서울,291309.0,161815.8,161815.8,370026.14,1.0,0.0,-129493.2,-44.45
2020-02,부산,65307.04,68163.97,68163.97,89609.67,1.0,0.0,2856.93,4.37
2020-02,대구,211040.68,197021.09,197021.09,124372.04,1.0,0.0,-14019.59,-6.64
2020-02,인천,78451.85,70729.28,70729.28,94244.65,1.0,0.0,-7722.57,-9.84
