지표코드,기준월,연도,월,평균_대당충전기
급속_대당,2024-01,2024,1,0.52
급속_대당,2024-02,2024,2,0.53
급속_대당,2024-03,2024,3,0.83
급속_대당,2024-04,2024,4,0.83
급속_대당,2024-05,2024,5,0.85
급속_대당,2024-06,2024,6,0.84
급속_대당,2024-07,2024,7,0.84
급속_대당,2024-08,2024,8,0.84
급속_대당,2024-09,2024,9,0.83
급속_대당,2024-10,2024,10,0.81
급속_대당,2024-11,2024,11,0.8
급속_대당,2024-12,2024,12,0.81
급속_대당,2025-01,2025,1,0.83
급속_대당,2025-02,2025,2,0.82
급속_대당,2025-03,2025,3,0.82
급속_대당,2025-04,2025,4,0.8
급속_대당,2025-08,2025,8,0.76
급속_대당,2025-12,2025,12,0.76
급속_대당,2026-01,2026,1,0.76
급속_대당,2026-02,2026,2,0.76
급속_대당,2026-03,2026,3,0.76
급속_대당,2026-04,2026,4,0.76
완속_대당,2024-01,2024,1,3.49
완속_대당,2024-02,2024,2,3.58
완속_대당,2024-03,2024,3,5.7
완속_대당,2024-04,2024,4,5.8
완속_대당,2024-05,2024,5,5.8
완속_대당,2024-06,2024,6,5.76
완속_대당,2024-07,2024,7,5.71
완속_대당,2024-08,2024,8,5.69
완속_대당,2024-09,2024,9,5.67
완속_대당,2024-10,2024,10,5.68
완속_대당,2024-11,2024,11,5.67
완속_대당,2024-12,2024,12,5.75
완속_대당,2025-01,2025,1,5.88
완속_대당,2025-02,2025,2,5.82
완속_대당,2025-03,2025,3,5.8
완속_대당,2025-04,2025,4,5.68
완속_대당,2025-08,2025,8,5.38
완속_대당,2025-12,2025,12,5.3
완속_대당,2026-01,2026,1,5.41
완속_대당,2026-02,2026,2,5.53
완속_대당,2026-03,2026,3,5.65
완속_대당,2026-04,2026,4,5.68
합계_대당,2024-01,2024,1,4.02
합계_대당,2024-02,2024,2,4.13
합계_대당,2024-03,2024,3,6.53
합계_대당,2024-04,2024,4,6.65
합계_대당,2024-05,2024,5,6.66
합계_대당,2024-06,2024,6,6.61
합계_대당,2024-07,2024,7,6.56
합계_대당,2024-08,2024,8,6.54
합계_대당,2024-09,2024,9,6.51
합계_대당,2024-10,2024,10,6.5
합계_대당,2024-11,2024,11,6.48
합계_대당,2024-12,2024,12,6.56
합계_대당,2025-01,2025,1,6.72
합계_대당,2025-02,2025,2,6.66
합계_대당,2025-03,2025,3,6.62
합계_대당,2025-04,2025,4,6.49
합계_대당,2025-08,2025,8,6.15
합계_대당,2025-12,2025,12,6.07
합계_대당,2026-01,2026,1,6.18
합계_대당,2026-02,2026,2,6.3
합계_대당,2026-03,2026,3,6.42
합계_대당,2026-04,2026,4,6.44
