기준월,연도,월,권역,급속_대당,완속_대당,합계_대당,급속비중,완속비중,합계비중,완속급속강도비
2024-01,2024,1,서울,0.47,5.27,5.75,11.3,18.8,17.9,11.21
2024-01,2024,1,경기,0.45,4.51,4.97,10.8,16.1,15.4,10.02
2024-01,2024,1,인천,0.18,2.09,2.28,4.3,7.5,7.1,11.61
2024-01,2024,1,강원,0.97,4.38,5.36,23.3,15.7,16.7,4.52
2024-01,2024,1,충청,0.55,3.75,4.31,13.2,13.4,13.4,6.82
2024-01,2024,1,전라,0.61,3.34,3.95,14.7,11.9,12.3,5.48
2024-01,2024,1,경상,0.5,3.44,3.94,12.0,12.3,12.2,6.88
2024-01,2024,1,제주,0.43,1.18,1.62,10.3,4.2,5.0,2.74
2024-02,2024,2,서울,0.48,5.4,5.89,11.2,18.8,17.8,11.25
2024-02,2024,2,경기,0.47,4.62,5.1,11.0,16.1,15.4,9.83
2024-02,2024,2,인천,0.19,2.14,2.34,4.4,7.5,7.1,11.26
2024-02,2024,2,강원,0.99,4.5,5.5,23.1,15.7,16.6,4.55
2024-02,2024,2,충청,0.57,3.9,4.48,13.3,13.6,13.6,6.84
2024-02,2024,2,전라,0.63,3.44,4.07,14.7,12.0,12.3,5.46
2024-02,2024,2,경상,0.51,3.51,4.03,11.9,12.2,12.2,6.88
2024-02,2024,2,제주,0.44,1.19,1.63,10.3,4.1,4.9,2.7
2024-03,2024,3,서울,0.65,7.44,8.1,9.8,16.3,15.5,11.45
2024-03,2024,3,경기,0.82,8.18,9.0,12.3,17.9,17.2,9.98
2024-03,2024,3,인천,0.38,4.4,4.78,5.7,9.6,9.1,11.58
2024-03,2024,3,강원,1.38,6.46,7.85,20.8,14.2,15.0,4.68
2024-03,2024,3,충청,0.89,6.06,6.95,13.4,13.3,13.3,6.81
2024-03,2024,3,전라,1.03,5.55,6.59,15.5,12.2,12.6,5.39
2024-03,2024,3,경상,0.83,5.7,6.54,12.5,12.5,12.5,6.87
2024-03,2024,3,제주,0.67,1.82,2.5,10.1,4.0,4.8,2.72
2024-04,2024,4,서울,0.67,7.61,8.28,10.0,16.4,15.6,11.36
2024-04,2024,4,경기,0.83,8.37,9.2,12.4,18.0,17.3,10.08
2024-04,2024,4,인천,0.37,4.49,4.87,5.5,9.7,9.2,12.14
2024-04,2024,4,강원,1.39,6.56,7.96,20.7,14.1,15.0,4.72
2024-04,2024,4,충청,0.9,6.12,7.02,13.4,13.2,13.2,6.8
2024-04,2024,4,전라,1.03,5.69,6.72,15.4,12.2,12.6,5.52
2024-04,2024,4,경상,0.84,5.81,6.65,12.5,12.5,12.5,6.92
2024-04,2024,4,제주,0.67,1.82,2.5,10.0,3.9,4.7,2.72
2024-05,2024,5,서울,0.68,7.59,8.28,9.9,16.4,15.5,11.16
2024-05,2024,5,경기,0.87,8.34,9.21,12.7,18.0,17.3,9.59
2024-05,2024,5,인천,0.39,4.39,4.78,5.7,9.5,9.0,11.26
2024-05,2024,5,강원,1.41,6.61,8.02,20.6,14.2,15.0,4.69
2024-05,2024,5,충청,0.93,6.17,7.11,13.6,13.3,13.3,6.63
2024-05,2024,5,전라,1.05,5.73,6.79,15.4,12.3,12.7,5.46
2024-05,2024,5,경상,0.84,5.79,6.63,12.3,12.5,12.4,6.89
2024-05,2024,5,제주,0.67,1.79,2.47,9.8,3.9,4.6,2.67
2024-06,2024,6,서울,0.67,7.53,8.2,9.9,16.3,15.5,11.24
2024-06,2024,6,경기,0.86,8.29,9.15,12.7,18.0,17.3,9.64
2024-06,2024,6,인천,0.39,4.33,4.72,5.8,9.4,8.9,11.1
2024-06,2024,6,강원,1.39,6.63,8.03,20.5,14.4,15.2,4.77
2024-06,2024,6,충청,0.92,6.1,7.02,13.6,13.2,13.3,6.63
2024-06,2024,6,전라,1.06,5.71,6.78,15.6,12.4,12.8,5.39
2024-06,2024,6,경상,0.83,5.76,6.6,12.2,12.5,12.5,6.94
2024-06,2024,6,제주,0.66,1.74,2.4,9.7,3.8,4.5,2.64
2024-07,2024,7,서울,0.66,7.49,8.16,9.7,16.4,15.5,11.35
2024-07,2024,7,경기,0.85,8.17,9.03,12.6,17.9,17.2,9.61
2024-07,2024,7,인천,0.39,4.23,4.62,5.8,9.3,8.8,10.85
2024-07,2024,7,강원,1.41,6.65,8.07,20.8,14.6,15.4,4.72
2024-07,2024,7,충청,0.93,6.04,6.97,13.7,13.2,13.3,6.49
2024-07,2024,7,전라,1.05,5.65,6.71,15.5,12.4,12.8,5.38
2024-07,2024,7,경상,0.84,5.74,6.58,12.4,12.6,12.5,6.83
2024-07,2024,7,제주,0.64,1.72,2.37,9.5,3.8,4.5,2.69
2024-08,2024,8,서울,0.66,7.51,8.18,9.8,16.5,15.6,11.38
2024-08,2024,8,경기,0.84,8.1,8.95,12.5,17.8,17.1,9.64
2024-08,2024,8,인천,0.39,4.18,4.57,5.8,9.2,8.7,10.72
2024-08,2024,8,강원,1.4,6.67,8.08,20.8,14.6,15.4,4.76
2024-08,2024,8,충청,0.92,6.0,6.92,13.6,13.2,13.2,6.52
2024-08,2024,8,전라,1.05,5.66,6.72,15.6,12.4,12.8,5.39
2024-08,2024,8,경상,0.85,5.73,6.59,12.6,12.6,12.6,6.74
2024-08,2024,8,제주,0.63,1.69,2.32,9.3,3.7,4.4,2.68
2024-09,2024,9,서울,0.66,7.54,8.21,9.9,16.6,15.8,11.42
2024-09,2024,9,경기,0.84,8.12,8.96,12.6,17.9,17.2,9.67
2024-09,2024,9,인천,0.38,4.14,4.52,5.7,9.1,8.7,10.89
2024-09,2024,9,강원,1.39,6.65,8.05,20.9,14.6,15.4,4.78
2024-09,2024,9,충청,0.91,5.95,6.86,13.7,13.1,13.2,6.54
2024-09,2024,9,전라,1.03,5.64,6.68,15.5,12.4,12.8,5.48
2024-09,2024,9,경상,0.83,5.69,6.53,12.5,12.5,12.5,6.86
2024-09,2024,9,제주,0.61,1.69,2.3,9.2,3.7,4.4,2.77
2024-10,2024,10,서울,0.62,7.63,8.26,9.5,16.8,15.9,12.31
2024-10,2024,10,경기,0.8,8.16,8.97,12.3,17.9,17.2,10.2
2024-10,2024,10,인천,0.37,4.12,4.5,5.7,9.1,8.6,11.14
2024-10,2024,10,강원,1.38,6.65,8.04,21.2,14.6,15.4,4.82
2024-10,2024,10,충청,0.91,5.91,6.83,14.0,13.0,13.1,6.49
2024-10,2024,10,전라,1.02,5.66,6.68,15.6,12.4,12.8,5.55
2024-10,2024,10,경상,0.83,5.7,6.53,12.7,12.5,12.5,6.87
2024-10,2024,10,제주,0.59,1.65,2.25,9.0,3.6,4.3,2.8
2024-11,2024,11,서울,0.62,7.6,8.23,9.6,16.7,15.9,12.26
2024-11,2024,11,경기,0.79,8.11,8.9,12.3,17.9,17.2,10.27
2024-11,2024,11,인천,0.36,4.11,4.48,5.6,9.1,8.6,11.42
2024-11,2024,11,강원,1.36,6.7,8.06,21.1,14.8,15.5,4.93
2024-11,2024,11,충청,0.9,5.95,6.86,14.0,13.1,13.2,6.61
2024-11,2024,11,전라,1.01,5.67,6.68,15.7,12.5,12.9,5.61
2024-11,2024,11,경상,0.82,5.66,6.49,12.7,12.5,12.5,6.9
2024-11,2024,11,제주,0.58,1.61,2.19,9.0,3.5,4.2,2.78
2024-12,2024,12,서울,0.61,7.56,8.17,9.4,16.4,15.5,12.39
2024-12,2024,12,경기,0.81,8.21,9.02,12.4,17.8,17.2,10.14
2024-12,2024,12,인천,0.37,4.22,4.6,5.7,9.2,8.8,11.41
2024-12,2024,12,강원,1.37,6.77,8.14,21.0,14.7,15.5,4.94
2024-12,2024,12,충청,0.93,6.13,7.06,14.3,13.3,13.4,6.59
2024-12,2024,12,전라,1.02,5.72,6.75,15.6,12.4,12.8,5.61
2024-12,2024,12,경상,0.83,5.79,6.62,12.7,12.6,12.6,6.98
2024-12,2024,12,제주,0.58,1.6,2.19,8.9,3.5,4.2,2.76
2025-01,2025,1,서울,0.64,7.78,8.42,9.6,16.5,15.6,12.16
2025-01,2025,1,경기,0.83,8.47,9.3,12.4,18.0,17.3,10.2
2025-01,2025,1,인천,0.38,4.35,4.74,5.7,9.2,8.8,11.45
2025-01,2025,1,강원,1.43,6.86,8.3,21.4,14.6,15.4,4.8
2025-01,2025,1,충청,0.95,6.31,7.27,14.2,13.4,13.5,6.64
2025-01,2025,1,전라,1.04,5.83,6.88,15.6,12.4,12.8,5.61
2025-01,2025,1,경상,0.84,5.92,6.76,12.6,12.6,12.6,7.05
2025-01,2025,1,제주,0.57,1.56,2.14,8.5,3.3,4.0,2.74
2025-02,2025,2,서울,0.63,7.64,8.28,9.5,16.4,15.5,12.13
2025-02,2025,2,경기,0.82,8.39,9.22,12.4,18.0,17.3,10.23
2025-02,2025,2,인천,0.38,4.33,4.72,5.7,9.3,8.9,11.39
2025-02,2025,2,강원,1.43,6.87,8.31,21.6,14.7,15.6,4.8
2025-02,2025,2,충청,0.94,6.24,7.19,14.2,13.4,13.5,6.64
2025-02,2025,2,전라,1.03,5.77,6.81,15.6,12.4,12.8,5.6
2025-02,2025,2,경상,0.83,5.81,6.64,12.5,12.5,12.5,7.0
2025-02,2025,2,제주,0.56,1.55,2.11,8.5,3.3,4.0,2.77
2025-03,2025,3,서울,0.63,7.66,8.3,9.6,16.5,15.7,12.16
2025-03,2025,3,경기,0.81,8.38,9.19,12.3,18.1,17.3,10.35
2025-03,2025,3,인천,0.37,4.26,4.64,5.6,9.2,8.8,11.51
2025-03,2025,3,강원,1.45,6.89,8.34,22.0,14.8,15.7,4.75
2025-03,2025,3,충청,0.93,6.15,7.08,14.1,13.3,13.4,6.61
2025-03,2025,3,전라,1.03,5.74,6.77,15.7,12.4,12.8,5.57
2025-03,2025,3,경상,0.81,5.8,6.62,12.3,12.5,12.5,7.16
2025-03,2025,3,제주,0.55,1.52,2.08,8.4,3.3,3.9,2.76
2025-04,2025,4,서울,0.63,7.58,8.21,9.7,16.7,15.8,12.03
2025-04,2025,4,경기,0.79,8.17,8.96,12.2,18.0,17.3,10.34
2025-04,2025,4,인천,0.36,4.07,4.44,5.6,9.0,8.5,11.31
2025-04,2025,4,강원,1.43,6.78,8.21,22.1,14.9,15.8,4.74
2025-04,2025,4,충청,0.91,6.04,6.95,14.1,13.3,13.4,6.64
2025-04,2025,4,전라,1.01,5.62,6.63,15.6,12.4,12.8,5.56
2025-04,2025,4,경상,0.8,5.69,6.5,12.4,12.5,12.5,7.11
2025-04,2025,4,제주,0.54,1.49,2.04,8.3,3.3,3.9,2.76
2025-08,2025,8,서울,0.66,7.25,7.91,10.7,16.8,16.1,10.98
2025-08,2025,8,경기,0.78,7.67,8.46,12.7,17.8,17.2,9.83
2025-08,2025,8,인천,0.33,3.64,3.98,5.4,8.5,8.1,11.03
2025-08,2025,8,강원,1.36,6.52,7.88,22.1,15.1,16.0,4.79
2025-08,2025,8,충청,0.86,5.75,6.62,14.0,13.4,13.4,6.69
2025-08,2025,8,전라,0.94,5.38,6.32,15.3,12.5,12.8,5.72
2025-08,2025,8,경상,0.72,5.48,6.21,11.7,12.7,12.6,7.61
2025-08,2025,8,제주,0.5,1.35,1.86,8.1,3.1,3.8,2.7
2025-12,2025,12,서울,0.64,7.23,7.87,10.5,17.0,16.2,11.3
2025-12,2025,12,경기,0.78,7.54,8.32,12.8,17.8,17.1,9.67
2025-12,2025,12,인천,0.33,3.66,4.0,5.4,8.6,8.2,11.09
2025-12,2025,12,강원,1.39,6.39,7.78,22.7,15.0,16.0,4.6
2025-12,2025,12,충청,0.85,5.79,6.64,13.9,13.6,13.7,6.81
2025-12,2025,12,전라,0.92,5.26,6.19,15.1,12.4,12.7,5.72
2025-12,2025,12,경상,0.71,5.33,6.04,11.6,12.6,12.4,7.51
2025-12,2025,12,제주,0.49,1.27,1.76,8.0,3.0,3.6,2.59
2026-01,2026,1,서울,0.64,7.34,7.99,10.5,17.0,16.2,11.47
2026-01,2026,1,경기,0.78,7.7,8.49,12.8,17.8,17.2,9.87
2026-01,2026,1,인천,0.33,3.78,4.11,5.4,8.7,8.3,11.45
2026-01,2026,1,강원,1.39,6.52,7.92,22.7,15.1,16.0,4.69
2026-01,2026,1,충청,0.85,5.87,6.73,13.9,13.6,13.6,6.91
2026-01,2026,1,전라,0.93,5.36,6.29,15.2,12.4,12.7,5.76
2026-01,2026,1,경상,0.71,5.46,6.18,11.6,12.6,12.5,7.69
2026-01,2026,1,제주,0.48,1.27,1.76,7.9,2.9,3.6,2.65
2026-02,2026,2,서울,0.64,7.54,8.19,10.5,17.0,16.2,11.78
2026-02,2026,2,경기,0.78,7.89,8.67,12.8,17.8,17.2,10.12
2026-02,2026,2,인천,0.33,3.91,4.25,5.4,8.8,8.4,11.85
2026-02,2026,2,강원,1.39,6.62,8.02,22.7,14.9,15.9,4.76
2026-02,2026,2,충청,0.85,5.98,6.83,13.9,13.5,13.5,7.04
2026-02,2026,2,전라,0.93,5.48,6.41,15.2,12.4,12.7,5.89
2026-02,2026,2,경상,0.71,5.59,6.3,11.6,12.6,12.5,7.87
