기준월,연도,월,권역,급속,완속,합계누적,완속급속비,급속비중
2020-12,2020,12,강원,595,1039,1634,1.75,36.41
2020-12,2020,12,경기,1377,6220,7597,4.52,18.13
2020-12,2020,12,경상,2027,5657,7684,2.79,26.38
2020-12,2020,12,서울,763,3268,4031,4.28,18.93
2020-12,2020,12,인천,232,915,1147,3.94,20.23
2020-12,2020,12,전국,8027,26687,34714,3.32,23.12
2020-12,2020,12,전라,1120,3716,4836,3.32,23.16
2020-12,2020,12,제주,933,2374,3307,2.54,28.21
2020-12,2020,12,충청,980,3498,4478,3.57,21.88
2021-06,2021,6,강원,822,1898,2720,2.31,30.22
2021-06,2021,6,경기,2369,16087,18456,6.79,12.84
2021-06,2021,6,경상,3328,16619,19947,4.99,16.68
2021-06,2021,6,서울,1388,8534,9922,6.15,13.99
2021-06,2021,6,인천,425,2285,2710,5.38,15.68
2021-06,2021,6,전국,13126,62752,75878,4.78,17.3
2021-06,2021,6,전라,1788,6633,8421,3.71,21.23
2021-06,2021,6,제주,1320,3366,4686,2.55,28.17
2021-06,2021,6,충청,1686,7330,9016,4.35,18.7
2021-12,2021,12,강원,869,2295,3164,2.64,27.47
2021-12,2021,12,경기,2681,20211,22892,7.54,11.71
2021-12,2021,12,경상,3829,19977,23806,5.22,16.08
2021-12,2021,12,서울,1621,13236,14857,8.17,10.91
2021-12,2021,12,인천,523,3326,3849,6.36,13.59
2021-12,2021,12,전국,14973,79068,94041,5.28,15.92
2021-12,2021,12,전라,2061,7819,9880,3.79,20.86
2021-12,2021,12,제주,1417,3526,4943,2.49,28.67
2021-12,2021,12,충청,1972,8678,10650,4.4,18.52
2022-06,2022,6,강원,957,3015,3972,3.15,24.09
2022-06,2022,6,경기,2981,27577,30558,9.25,9.76
2022-06,2022,6,경상,4318,25500,29818,5.91,14.48
2022-06,2022,6,서울,1805,20585,22390,11.4,8.06
2022-06,2022,6,인천,614,4460,5074,7.26,12.1
2022-06,2022,6,전국,16825,106188,123013,6.31,13.68
2022-06,2022,6,전라,2232,9988,12220,4.47,18.27
2022-06,2022,6,제주,1598,3648,5246,2.28,30.46
2022-06,2022,6,충청,2320,11415,13735,4.92,16.89
2022-12,2022,12,강원,1179,5245,6424,4.45,18.35
2022-12,2022,12,경기,3649,46938,50587,12.86,7.21
2022-12,2022,12,경상,5162,40920,46082,7.93,11.2
2022-12,2022,12,서울,2211,31880,34091,14.42,6.49
2022-12,2022,12,인천,819,8559,9378,10.45,8.73
2022-12,2022,12,전국,20357,172591,192948,8.48,10.55
2022-12,2022,12,전라,2694,15176,17870,5.63,15.08
2022-12,2022,12,제주,1850,4059,5909,2.19,31.31
2022-12,2022,12,충청,2793,19814,22607,7.09,12.35
2023-06,2023,6,강원,1179,5245,6424,4.45,18.35
2023-06,2023,6,경기,3649,46938,50587,12.86,7.21
2023-06,2023,6,경상,5162,40920,46082,7.93,11.2
2023-06,2023,6,서울,2211,31880,34091,14.42,6.49
2023-06,2023,6,인천,819,8559,9378,10.45,8.73
2023-06,2023,6,전국,20357,172591,192948,8.48,10.55
2023-06,2023,6,전라,2694,15176,17870,5.63,15.08
2023-06,2023,6,제주,1850,4059,5909,2.19,31.31
2023-06,2023,6,충청,2793,19814,22607,7.09,12.35
2023-12,2023,12,강원,1960,8555,10515,4.36,18.64
2023-12,2023,12,경기,7434,69930,77364,9.41,9.61
2023-12,2023,12,경상,8788,58658,67446,6.67,13.03
2023-12,2023,12,서울,4079,44480,48559,10.9,8.4
2023-12,2023,12,인천,1287,14202,15489,11.03,8.31
2023-12,2023,12,전국,34402,253746,288148,7.38,11.94
2023-12,2023,12,전라,4220,22824,27044,5.41,15.6
2023-12,2023,12,제주,2068,5463,7531,2.64,27.46
2023-12,2023,12,충청,4566,29634,34200,6.49,13.35
2024-01,2024,1,강원,1995,8950,10945,4.49,18.23
2024-01,2024,1,경기,7647,75043,82690,9.81,9.25
2024-01,2024,1,경상,9034,61936,70970,6.86,12.73
2024-01,2024,1,서울,4147,46005,50152,11.09,8.27
2024-01,2024,1,인천,1334,14935,16269,11.2,8.2
2024-01,2024,1,전국,35291,268111,303402,7.6,11.63
2024-01,2024,1,전라,4409,24103,28512,5.47,15.46
2024-01,2024,1,제주,2076,5614,7690,2.7,27.0
2024-01,2024,1,충청,4649,31525,36174,6.78,12.85
2024-02,2024,2,강원,2034,9193,11227,4.52,18.12
2024-02,2024,2,경기,7949,76963,84912,9.68,9.36
2024-02,2024,2,경상,9294,63287,72581,6.81,12.81
2024-02,2024,2,서울,4268,47124,51392,11.04,8.3
2024-02,2024,2,인천,1391,15290,16681,10.99,8.34
2024-02,2024,2,전국,36418,275104,311522,7.55,11.69
2024-02,2024,2,전라,4546,24823,29369,5.46,15.48
2024-02,2024,2,제주,2097,5659,7756,2.7,27.04
2024-02,2024,2,충청,4839,32765,37604,6.77,12.87
2024-03,2024,3,강원,2065,9635,11700,4.67,17.65
2024-03,2024,3,경기,8070,80391,88461,9.96,9.12
2024-03,2024,3,경상,9543,64904,74447,6.8,12.82
2024-03,2024,3,서울,4302,48911,53213,11.37,8.08
2024-03,2024,3,인천,1421,16379,17800,11.53,7.98
2024-03,2024,3,전국,37380,285874,323254,7.65,11.56
