연도,권역,누적충전기,전년대비증감률,기간상태
2021,서울,14857,268.57,complete
2022,서울,34091,129.46,complete
2023,서울,48559,42.44,complete
2024,서울,60615,24.83,complete
2025,서울,68654,13.26,complete
2026,서울,73081,6.45,partial
2021,경기,22892,201.33,complete
2022,경기,50587,120.98,complete
2023,경기,77364,52.93,complete
2024,경기,112384,45.27,complete
2025,경기,138478,23.22,complete
2026,경기,148048,6.91,partial
2021,인천,3849,235.57,complete
2022,인천,9378,143.65,complete
2023,인천,15489,65.16,complete
2024,인천,22349,44.29,complete
2025,인천,28519,27.61,complete
2026,인천,31313,9.8,partial
2021,강원,3164,93.64,complete
2022,강원,6424,103.03,complete
2023,강원,10515,63.68,complete
2024,강원,13818,31.41,complete
2025,강원,15889,14.99,complete
2026,강원,16694,5.07,partial
2021,충청,10650,137.83,complete
2022,충청,22607,112.27,complete
2023,충청,34200,51.28,complete
2024,충청,47247,38.15,complete
2025,충청,55734,17.96,complete
2026,충청,58318,4.64,partial
2021,전라,9880,104.3,complete
2022,전라,17870,80.87,complete
2023,전라,27044,51.34,complete
2024,전라,38585,42.67,complete
2025,전라,44686,15.81,complete
2026,전라,47357,5.98,partial
2021,경상,23806,209.81,complete
2022,경상,46082,93.57,complete
2023,경상,67446,46.36,complete
2024,경상,90573,34.29,complete
2025,경상,108735,20.05,complete
2026,경상,115920,6.61,partial
2021,제주,4943,49.47,complete
2022,제주,5909,19.54,complete
2023,제주,7531,27.45,complete
2024,제주,8561,13.68,complete
2025,제주,8350,-2.46,complete
2026,제주,8401,0.61,partial
2021,전국,94041,170.9,complete
2022,전국,192948,105.17,complete
2023,전국,288148,49.34,complete
2024,전국,394132,36.78,complete
2025,전국,469045,19.01,complete
2026,전국,499132,6.41,partial
