연도,시도,충전소수
2016,강원,7
2016,경기,28
2016,경남,28
2016,경북,13
2016,광주,5
2016,대구,5
2016,대전,4
2016,부산,10
2016,서울,33
2016,세종,0
2016,울산,6
2016,인천,6
2016,전남,30
2016,전북,14
2016,제주,8
2016,충남,8
2016,충북,14
2017,강원,104
2017,경기,439
2017,경남,140
2017,경북,108
2017,광주,44
2017,대구,115
2017,대전,61
2017,부산,84
2017,서울,358
2017,세종,44
2017,울산,29
2017,인천,90
2017,전남,116
2017,전북,93
2017,제주,126
2017,충남,72
2017,충북,105
2018,강원,123
2018,경기,487
2018,경남,166
2018,경북,145
2018,광주,60
2018,대구,128
2018,대전,70
2018,부산,100
2018,서울,419
2018,세종,56
2018,울산,33
2018,인천,99
2018,전남,138
2018,전북,108
2018,제주,149
2018,충남,91
2018,충북,120
2019,강원,145
2019,경기,542
2019,경남,182
2019,경북,159
2019,광주,66
2019,대구,147
2019,대전,77
2019,부산,106
2019,서울,444
2019,세종,56
2019,울산,36
2019,인천,106
2019,전남,157
2019,전북,123
2019,제주,166
2019,충남,103
2019,충북,131
2020,강원,165
2020,경기,594
2020,경남,266
2020,경북,234
2020,광주,79
2020,대구,161
2020,대전,87
2020,부산,116
2020,서울,479
2020,세종,59
2020,울산,38
2020,인천,122
2020,전남,169
2020,전북,140
2020,제주,166
2020,충남,137
2020,충북,154
2021,강원,191
2021,경기,679
2021,경남,308
2021,경북,329
2021,광주,97
2021,대구,174
2021,대전,114
2021,부산,161
2021,서울,516
2021,세종,67
2021,울산,45
2021,인천,149
2021,전남,197
2021,전북,185
2021,제주,187
2021,충남,210
2021,충북,178
2022,강원,246
2022,경기,737
2022,경남,327
2022,경북,350
2022,광주,100
2022,대구,180
2022,대전,115
2022,부산,178
2022,서울,527
2022,세종,69
2022,울산,47
2022,인천,168
2022,전남,256
2022,전북,192
2022,제주,193
2022,충남,211
2022,충북,184
2023,강원,254
2023,경기,754
2023,경남,341
2023,경북,369
2023,광주,100
2023,대구,189
2023,대전,119
2023,부산,182
2023,서울,532
2023,세종,71
2023,울산,50
2023,인천,172
2023,전남,263
2023,전북,198
2023,제주,201
2023,충남,213
2023,충북,191
2024,강원,258
2024,경기,759
2024,경남,350
2024,경북,382
2024,광주,117
2024,대구,192
2024,대전,121
2024,부산,189
2024,서울,535
2024,세종,71
2024,울산,55
2024,인천,177
2024,전남,268
2024,전북,201
2024,제주,201
2024,충남,216
2024,충북,195
2025,강원,258
2025,경기,772
2025,경남,353
2025,경북,384
2025,광주,120
2025,대구,194
2025,대전,121
2025,부산,191
2025,서울,538
2025,세종,72
2025,울산,56
2025,인천,177
2025,전남,273
2025,전북,205
2025,제주,202
2025,충남,217
2025,충북,195
