지표코드,지표명,기준월,연도,월,권역,대당충전기,권역구성비,평균여부,지리단위,출처ID
급속_대당,전기차 1대당 급속충전기 수,2024-01,2024,1,서울,0.47,11.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-01,2024,1,경기,0.45,10.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-01,2024,1,인천,0.18,4.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-01,2024,1,강원,0.97,23.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-01,2024,1,충청,0.55,13.2,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-01,2024,1,전라,0.61,14.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-01,2024,1,경상,0.5,12.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-01,2024,1,제주,0.43,10.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-01,2024,1,평균,0.52,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-02,2024,2,서울,0.48,11.2,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-02,2024,2,경기,0.47,11.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-02,2024,2,인천,0.19,4.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-02,2024,2,강원,0.99,23.1,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-02,2024,2,충청,0.57,13.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-02,2024,2,전라,0.63,14.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-02,2024,2,경상,0.51,11.9,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-02,2024,2,제주,0.44,10.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-02,2024,2,평균,0.53,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-03,2024,3,서울,0.65,9.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-03,2024,3,경기,0.82,12.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-03,2024,3,인천,0.38,5.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-03,2024,3,강원,1.38,20.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-03,2024,3,충청,0.89,13.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-03,2024,3,전라,1.03,15.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-03,2024,3,경상,0.83,12.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-03,2024,3,제주,0.67,10.1,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-03,2024,3,평균,0.83,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-04,2024,4,서울,0.67,10.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-04,2024,4,경기,0.83,12.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-04,2024,4,인천,0.37,5.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-04,2024,4,강원,1.39,20.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-04,2024,4,충청,0.9,13.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-04,2024,4,전라,1.03,15.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-04,2024,4,경상,0.84,12.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-04,2024,4,제주,0.67,10.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-04,2024,4,평균,0.83,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-05,2024,5,서울,0.68,9.9,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-05,2024,5,경기,0.87,12.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-05,2024,5,인천,0.39,5.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-05,2024,5,강원,1.41,20.6,0,region8,me_charger_status_ev_per_charger_ratio
