연도,권역,누적충전기,전국대비비중,기간상태,as_of_note,지리단위,출처ID
2020,강원,1634,4.7,complete,,region8,me_charger_status_cumulative_stock
2020,경기,7597,21.9,complete,,region8,me_charger_status_cumulative_stock
2020,경상,7684,22.1,complete,,region8,me_charger_status_cumulative_stock
2020,서울,4031,11.6,complete,,region8,me_charger_status_cumulative_stock
2020,인천,1147,3.3,complete,,region8,me_charger_status_cumulative_stock
2020,전국,34714,100.0,complete,,national,me_charger_status_cumulative_stock
2020,전라,4836,13.9,complete,,region8,me_charger_status_cumulative_stock
2020,제주,3307,9.5,complete,,region8,me_charger_status_cumulative_stock
2020,충청,4478,12.9,complete,,region8,me_charger_status_cumulative_stock
2021,강원,3164,3.4,complete,,region8,me_charger_status_cumulative_stock
2021,경기,22892,24.3,complete,,region8,me_charger_status_cumulative_stock
2021,경상,23806,25.3,complete,,region8,me_charger_status_cumulative_stock
2021,서울,14857,15.8,complete,,region8,me_charger_status_cumulative_stock
2021,인천,3849,4.1,complete,,region8,me_charger_status_cumulative_stock
2021,전국,94041,100.0,complete,,national,me_charger_status_cumulative_stock
2021,전라,9880,10.5,complete,,region8,me_charger_status_cumulative_stock
2021,제주,4943,5.3,complete,,region8,me_charger_status_cumulative_stock
2021,충청,10650,11.3,complete,,region8,me_charger_status_cumulative_stock
2022,강원,6424,3.3,complete,,region8,me_charger_status_cumulative_stock
2022,경기,50587,26.2,complete,,region8,me_charger_status_cumulative_stock
2022,경상,46082,23.9,complete,,region8,me_charger_status_cumulative_stock
2022,서울,34091,17.7,complete,,region8,me_charger_status_cumulative_stock
2022,인천,9378,4.9,complete,,region8,me_charger_status_cumulative_stock
2022,전국,192948,100.0,complete,,national,me_charger_status_cumulative_stock
2022,전라,17870,9.3,complete,,region8,me_charger_status_cumulative_stock
2022,제주,5909,3.1,complete,,region8,me_charger_status_cumulative_stock
2022,충청,22607,11.7,complete,,region8,me_charger_status_cumulative_stock
2023,강원,10515,3.6,complete,,region8,me_charger_status_cumulative_stock
2023,경기,77364,26.8,complete,,region8,me_charger_status_cumulative_stock
2023,경상,67446,23.4,complete,,region8,me_charger_status_cumulative_stock
2023,서울,48559,16.9,complete,,region8,me_charger_status_cumulative_stock
2023,인천,15489,5.4,complete,,region8,me_charger_status_cumulative_stock
2023,전국,288148,100.0,complete,,national,me_charger_status_cumulative_stock
2023,전라,27044,9.4,complete,,region8,me_charger_status_cumulative_stock
2023,제주,7531,2.6,complete,,region8,me_charger_status_cumulative_stock
2023,충청,34200,11.9,complete,,region8,me_charger_status_cumulative_stock
2024,강원,13818,3.5,complete,,region8,me_charger_status_cumulative_stock
2024,경기,112384,28.5,complete,,region8,me_charger_status_cumulative_stock
2024,경상,90573,23.0,complete,,region8,me_charger_status_cumulative_stock
2024,서울,60615,15.4,complete,,region8,me_charger_status_cumulative_stock
2024,인천,22349,5.7,complete,,region8,me_charger_status_cumulative_stock
2024,전국,394132,100.0,complete,,national,me_charger_status_cumulative_stock
2024,전라,38585,9.8,complete,,region8,me_charger_status_cumulative_stock
2024,제주,8561,2.2,complete,,region8,me_charger_status_cumulative_stock
2024,충청,47247,12.0,complete,,region8,me_charger_status_cumulative_stock
2025,강원,15889,3.4,complete,,region8,me_charger_status_cumulative_stock
2025,경기,138478,29.5,complete,,region8,me_charger_status_cumulative_stock
2025,경상,108735,23.2,complete,,region8,me_charger_status_cumulative_stock
2025,서울,68654,14.6,complete,,region8,me_charger_status_cumulative_stock
2025,인천,28519,6.1,complete,,region8,me_charger_status_cumulative_stock
2025,전국,469045,100.0,complete,,national,me_charger_status_cumulative_stock
2025,전라,44686,9.5,complete,,region8,me_charger_status_cumulative_stock
2025,제주,8350,1.8,complete,,region8,me_charger_status_cumulative_stock
2025,충청,55734,11.9,complete,,region8,me_charger_status_cumulative_stock
2026,강원,16694,3.3,partial,2026-08-11 누적,region8,me_charger_status_cumulative_stock
2026,경기,148048,29.7,partial,2026-08-11 누적,region8,me_charger_status_cumulative_stock
2026,경상,115920,23.2,partial,2026-08-11 누적,region8,me_charger_status_cumulative_stock
2026,서울,73081,14.6,partial,2026-08-11 누적,region8,me_charger_status_cumulative_stock
2026,인천,31313,6.3,partial,2026-08-11 누적,region8,me_charger_status_cumulative_stock
2026,전국,499132,100.0,partial,2026-08-11 누적,national,me_charger_status_cumulative_stock
2026,전라,47357,9.5,partial,2026-08-11 누적,region8,me_charger_status_cumulative_stock
2026,제주,8401,1.7,partial,2026-08-11 누적,region8,me_charger_status_cumulative_stock
2026,충청,58318,11.7,partial,2026-08-11 누적,region8,me_charger_status_cumulative_stock
