기준월,연도,월,권역,충전속도코드,충전속도,누적충전기,지리단위,출처ID,전국대비비중
2020-12,2020,12,강원,급속,급속,595,region8,me_charger_status_cumulative_stock_monthly,7.4
2020-12,2020,12,경기,급속,급속,1377,region8,me_charger_status_cumulative_stock_monthly,17.2
2020-12,2020,12,경상,급속,급속,2027,region8,me_charger_status_cumulative_stock_monthly,25.3
2020-12,2020,12,서울,급속,급속,763,region8,me_charger_status_cumulative_stock_monthly,9.5
2020-12,2020,12,인천,급속,급속,232,region8,me_charger_status_cumulative_stock_monthly,2.9
2020-12,2020,12,전국,급속,급속,8027,national,me_charger_status_cumulative_stock_monthly,100.0
2020-12,2020,12,전라,급속,급속,1120,region8,me_charger_status_cumulative_stock_monthly,14.0
2020-12,2020,12,제주,급속,급속,933,region8,me_charger_status_cumulative_stock_monthly,11.6
2020-12,2020,12,충청,급속,급속,980,region8,me_charger_status_cumulative_stock_monthly,12.2
2020-12,2020,12,강원,완속,완속,1039,region8,me_charger_status_cumulative_stock_monthly,3.9
2020-12,2020,12,경기,완속,완속,6220,region8,me_charger_status_cumulative_stock_monthly,23.3
2020-12,2020,12,경상,완속,완속,5657,region8,me_charger_status_cumulative_stock_monthly,21.2
2020-12,2020,12,서울,완속,완속,3268,region8,me_charger_status_cumulative_stock_monthly,12.2
2020-12,2020,12,인천,완속,완속,915,region8,me_charger_status_cumulative_stock_monthly,3.4
2020-12,2020,12,전국,완속,완속,26687,national,me_charger_status_cumulative_stock_monthly,100.0
2020-12,2020,12,전라,완속,완속,3716,region8,me_charger_status_cumulative_stock_monthly,13.9
2020-12,2020,12,제주,완속,완속,2374,region8,me_charger_status_cumulative_stock_monthly,8.9
2020-12,2020,12,충청,완속,완속,3498,region8,me_charger_status_cumulative_stock_monthly,13.1
2021-06,2021,6,강원,급속,급속,822,region8,me_charger_status_cumulative_stock_monthly,6.3
2021-06,2021,6,경기,급속,급속,2369,region8,me_charger_status_cumulative_stock_monthly,18.0
2021-06,2021,6,경상,급속,급속,3328,region8,me_charger_status_cumulative_stock_monthly,25.4
2021-06,2021,6,서울,급속,급속,1388,region8,me_charger_status_cumulative_stock_monthly,10.6
2021-06,2021,6,인천,급속,급속,425,region8,me_charger_status_cumulative_stock_monthly,3.2
2021-06,2021,6,전국,급속,급속,13126,national,me_charger_status_cumulative_stock_monthly,100.0
2021-06,2021,6,전라,급속,급속,1788,region8,me_charger_status_cumulative_stock_monthly,13.6
